symbol,name,ticker,sector,downloaded,download_note,source_index,benchmark_ticker,last_date,last,return_1d_pct,return_5d_pct,return_20d_pct,volume,avg_volume_20,volume_ratio_20d,turnover_proxy,rsi_14,rsi_5d_ago,above_sma_10,above_sma_20,above_sma_50,above_sma_100,above_sma_200,distance_sma_20_pct,distance_sma_50_pct,ma200_roc20_pct,supertrend_bullish,new_high20,within_3pct_ath,at_ath,rs_acceleration_pct,rs_ratio,rs_ratio_sma_50,rs_distance_sma_50_pct,rs_return_20d_pct,rs_above_50dma,trend_raw,breakout_raw,volume_raw,setup_score,setup_quality,primary_setup,setup_tags,setup_pivot_level,setup_breakout_date,setup_volume_ratio,setup_retest_gap_pct,setup_flag_depth_pct,setup_impulse_return_pct,setup_neckline_level,setup_commentary,rotation_signal,rotation_score
BEML,BEML Ltd.,BEML.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-09-02,2032.4,3.16,4.89,21.58,966073.0,542365.0,1.78,1963446788.79,66.18,60.98,True,True,True,True,True,6.01,10.58,-1.08,False,True,False,False,31.64,0.08751744,0.0784552,11.55,22.64,True,0.6666666666666666,0.5,1.78,4.77,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",1892.39,2026-08-18,1.73,3.31,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.9
NIACL,The New India Assurance Company Ltd.,NIACL.NS,Financial Services,True,,NIFTY 500,^CRSLDX,2026-09-02,199.11,7.18,6.42,8.35,24333313.0,3723083.0,6.54,4845005966.28,67.7,60.93,True,True,True,True,True,8.14,10.6,0.01,False,True,False,False,25.91,0.0085739,0.00771446,11.14,18.25,True,1.0,0.5,6.54,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",188.24,2026-08-31,9.17,3.09,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.9
CLEAN,Clean Science and Technology Ltd.,CLEAN.NS,Chemicals,True,,NIFTY 500,^CRSLDX,2026-09-02,863.15,4.36,4.06,12.25,1112247.0,423313.0,2.63,960036025.2,66.92,60.19,True,True,True,True,True,4.92,10.09,-2.11,False,True,False,False,18.64,0.03716821,0.03353153,10.85,13.68,True,0.3333333333333333,0.5,2.63,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",848.78,2026-09-02,2.77,1.69,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.9
CAPLIPOINT,Caplin Point Laboratories Ltd.,CAPLIPOINT.NS,Healthcare,True,,NIFTY 500,^CRSLDX,2026-09-02,2720.5,0.34,8.12,7.03,373588.0,206940.0,1.81,1016346154.0,64.18,48.65,True,True,True,True,True,6.54,6.03,2.87,False,True,True,True,9.07,0.1171478,0.10981076,6.68,7.91,True,1.0,1.0,1.81,4.08,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",2680.28,2026-09-02,1.96,1.13,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.9
JSWDULUX,JSW Dulux Ltd.,JSWDULUX.NS,Consumer Durables,True,,NIFTY 500,^CRSLDX,2026-09-02,3163.3,0.63,1.84,4.67,29236.0,18689.0,1.56,92482240.23,58.74,53.4,True,True,True,True,True,1.59,3.11,-0.45,False,False,False,False,12.83,0.13621527,0.13137114,3.69,7.83,True,0.6666666666666666,0.0,1.56,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",3076.95,2026-08-11,4.14,0.28,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.9
MPHASIS,MphasiS Ltd.,MPHASIS.NS,Information Technology,True,,NIFTY 500,^CRSLDX,2026-09-02,2480.0,-1.02,3.33,0.81,900480.0,444225.0,2.03,2233190400.0,56.15,47.75,True,True,True,True,True,0.56,4.76,-1.03,False,False,False,False,4.78,0.1067916,0.10106031,5.67,6.3,True,0.3333333333333333,0.0,2.03,5.04,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, flag, continuation, uptrend",2460.03,2026-09-01,2.29,0.81,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Bullish flag.,Strengthening with volume,7.9
POLYMED,Poly Medicure Ltd.,POLYMED.NS,Healthcare,True,,NIFTY 500,^CRSLDX,2026-09-02,1783.8,1.56,4.46,4.62,744104.0,252754.0,2.94,1327332751.53,57.79,47.68,True,True,True,True,True,1.49,4.43,-1.1,False,False,False,False,3.86,0.07681244,0.07302637,5.18,5.74,True,0.6666666666666666,0.0,2.94,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, flag, continuation, uptrend, inverse-head-and-shoulders, base, reversal",1751.48,2026-08-11,8.05,0.68,,,,"Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Bullish flag, Possible inverse H&S.",Strengthening with volume,7.85
NUVAMA,Nuvama Wealth Management Ltd.,NUVAMA.NS,Financial Services,True,,NIFTY 500,^CRSLDX,2026-09-02,1841.0,3.14,3.47,9.84,1438167.0,379623.0,3.79,2647665447.0,60.34,54.22,True,True,True,True,True,6.26,2.18,2.07,False,True,False,False,23.68,0.07927554,0.07706087,2.87,10.85,True,1.0,0.5,3.79,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",1458.45,,,26.23,,,1458.45,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.69
KAJARIACER,Kajaria Ceramics Ltd.,KAJARIACER.NS,Consumer Durables,True,,NIFTY 500,^CRSLDX,2026-09-02,1261.1,2.61,4.27,6.34,725692.0,247301.0,2.93,915170163.48,61.21,48.82,True,True,True,True,True,3.31,3.66,0.43,False,True,True,True,9.85,0.05430439,0.05206381,4.3,7.4,True,1.0,1.0,2.93,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",1131.63,,,11.44,,,1131.63,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.69
REDINGTON,Redington Ltd.,REDINGTON.NS,Services,True,,NIFTY 500,^CRSLDX,2026-09-02,363.2,3.89,2.54,4.41,10765066.0,5006118.0,2.15,3909872102.61,62.68,63.65,True,True,True,True,True,3.88,16.93,3.24,False,False,True,False,-19.63,0.0156398,0.01319805,18.5,5.98,True,1.0,0.5,2.15,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",295.24,,,23.02,,,295.24,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.69
PAYTM,One 97 Communications Ltd.,PAYTM.NS,Financial Services,True,,NIFTY 500,^CRSLDX,2026-09-02,1619.0,-0.89,-5.65,13.3,3007702.0,4861964.0,0.62,4869469538.0,56.98,76.52,False,True,True,True,True,0.48,14.3,2.54,False,False,False,False,7.13,0.06971597,0.06005917,16.08,17.97,True,1.0,0.0,0.62,4.13,Actionable watch,High-tight flag,"flag, continuation, uptrend, high-tight, inverse-head-and-shoulders, base, reversal",1718.0,2026-08-25,0.96,,7.77,58.01,,Price has made a sharp impulse move and is now consolidating near the highs. A controlled pullback with quieter volume keeps the continuation setup alive. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
CUB,City Union Bank Ltd.,CUB.NS,Financial Services,True,,NIFTY 500,^CRSLDX,2026-09-02,230.61,-1.86,1.68,12.73,2227157.0,2648459.0,0.84,513604677.13,58.46,59.27,True,True,True,True,True,5.12,6.03,1.91,False,False,True,False,28.77,0.00993033,0.00929276,6.86,16.77,True,1.0,0.5,0.84,4.83,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",226.37,2026-08-31,1.87,0.01,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
CHENNPETRO,Chennai Petroleum Corporation Ltd.,CHENNPETRO.NS,Oil Gas & Consumable Fuels,True,,NIFTY 500,^CRSLDX,2026-09-02,1414.0,1.95,2.84,13.17,1672729.0,2502299.0,0.67,2365238806.0,61.28,58.07,True,True,True,True,True,3.65,15.02,5.22,False,False,True,False,-6.85,0.06088844,0.05237205,16.26,13.55,True,1.0,0.5,0.67,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, flag, continuation, uptrend",1352.5,2026-08-11,7.68,2.22,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Bullish flag.,Strengthening,7.1
BRIGADE,Brigade Enterprises Ltd.,BRIGADE.NS,Realty,True,,NIFTY 500,^CRSLDX,2026-09-02,640.0,-0.79,-2.3,12.22,258602.0,579610.0,0.45,165505280.0,61.18,72.8,False,True,True,True,True,3.34,11.68,-2.11,False,False,False,False,2.08,0.02755912,0.02442787,12.82,12.92,True,0.6666666666666666,0.0,0.45,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, flag, continuation, uptrend, inverse-head-and-shoulders, base, reversal",609.34,2026-08-20,3.52,2.18,,,,"Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Bullish flag, Possible inverse H&S.",Strengthening,7.1
CHALET,Chalet Hotels Ltd.,CHALET.NS,Consumer Services,True,,NIFTY 500,^CRSLDX,2026-09-02,897.95,0.05,-1.59,6.94,70205.0,230810.0,0.3,63040580.61,63.79,71.13,True,True,True,True,True,3.92,6.34,-0.8,False,False,False,False,11.35,0.03866674,0.03606982,7.2,10.95,True,0.6666666666666666,0.0,0.3,4.7,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",899.78,2026-08-26,3.38,0.2,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
CRISIL,CRISIL Ltd.,CRISIL.NS,Financial Services,True,,NIFTY 500,^CRSLDX,2026-09-02,4701.7,-2.65,4.17,5.05,40753.0,52951.0,0.77,191608388.06,61.24,57.18,True,True,True,True,True,2.87,8.0,-0.46,False,False,False,False,0.5,0.20246051,0.18580175,8.97,10.08,True,0.6666666666666666,0.0,0.77,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",4565.07,2026-08-27,4.26,2.34,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
SBFC,SBFC Finance Ltd.,SBFC.NS,Financial Services,True,,NIFTY 500,^CRSLDX,2026-09-02,99.23,-0.72,-1.89,6.03,1753371.0,3174689.0,0.55,173987010.22,63.14,72.82,True,True,True,True,True,3.92,6.42,-1.81,False,False,False,False,11.52,0.00427296,0.00398391,7.26,9.83,True,0.3333333333333333,0.0,0.55,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",96.19,2026-08-26,12.92,0.74,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
