symbol,name,ticker,source_index
ASHOKLEY,Ashok Leyland Ltd.,ASHOKLEY.NS,NIFTY 500
ASIANPAINT,Asian Paints Ltd.,ASIANPAINT.NS,NIFTY 500
ASTERDM,Aster DM Quality Care Ltd.,ASTERDM.NS,NIFTY 500
ASTRAL,Astral Ltd.,ASTRAL.NS,NIFTY 500
ATGL,Adani Total Gas Ltd.,ATGL.NS,NIFTY 500
ATHERENERG,Ather Energy Ltd.,ATHERENERG.NS,NIFTY 500
ATUL,Atul Ltd.,ATUL.NS,NIFTY 500
AUBANK,AU Small Finance Bank Ltd.,AUBANK.NS,NIFTY 500
AUROPHARMA,Aurobindo Pharma Ltd.,AUROPHARMA.NS,NIFTY 500
AWL,AWL Agri Business Ltd.,AWL.NS,NIFTY 500
AXISBANK,Axis Bank Ltd.,AXISBANK.NS,NIFTY 500
BAJAJ-AUTO,Bajaj Auto Ltd.,BAJAJ-AUTO.NS,NIFTY 500
BAJAJFINSV,Bajaj Finserv Ltd.,BAJAJFINSV.NS,NIFTY 500
BAJAJHFL,Bajaj Housing Finance Ltd.,BAJAJHFL.NS,NIFTY 500
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,BAJAJHLDNG.NS,NIFTY 500
BAJFINANCE,Bajaj Finance Ltd.,BAJFINANCE.NS,NIFTY 500
BALKRISIND,Balkrishna Industries Ltd.,BALKRISIND.NS,NIFTY 500
BALRAMCHIN,Balrampur Chini Mills Ltd.,BALRAMCHIN.NS,NIFTY 500
BANDHANBNK,Bandhan Bank Ltd.,BANDHANBNK.NS,NIFTY 500
BANKBARODA,Bank of Baroda,BANKBARODA.NS,NIFTY 500
BANKINDIA,Bank of India,BANKINDIA.NS,NIFTY 500
BATAINDIA,Bata India Ltd.,BATAINDIA.NS,NIFTY 500
BAYERCROP,Bayer Cropscience Ltd.,BAYERCROP.NS,NIFTY 500
BBTC,Bombay Burmah Trading Corporation Ltd.,BBTC.NS,NIFTY 500
BDL,Bharat Dynamics Ltd.,BDL.NS,NIFTY 500
BEL,Bharat Electronics Ltd.,BEL.NS,NIFTY 500
BELRISE,Belrise Industries Ltd.,BELRISE.NS,NIFTY 500
BEML,BEML Ltd.,BEML.NS,NIFTY 500
BERGEPAINT,Berger Paints India Ltd.,BERGEPAINT.NS,NIFTY 500
BHARATFORG,Bharat Forge Ltd.,BHARATFORG.NS,NIFTY 500
BHARTIARTL,Bharti Airtel Ltd.,BHARTIARTL.NS,NIFTY 500
BHARTIHEXA,Bharti Hexacom Ltd.,BHARTIHEXA.NS,NIFTY 500
BHEL,Bharat Heavy Electricals Ltd.,BHEL.NS,NIFTY 500
BIKAJI,Bikaji Foods International Ltd.,BIKAJI.NS,NIFTY 500
BIOCON,Biocon Ltd.,BIOCON.NS,NIFTY 500
BLS,BLS International Services Ltd.,BLS.NS,NIFTY 500
BLUEDART,Blue Dart Express Ltd.,BLUEDART.NS,NIFTY 500
