symbol,name,ticker,sector,downloaded,download_note,source_index,benchmark_ticker,last_date,last,return_1d_pct,return_5d_pct,return_20d_pct,volume,avg_volume_20,volume_ratio_20d,turnover_proxy,rsi_14,rsi_5d_ago,above_sma_20,above_sma_50,above_sma_200,distance_sma_20_pct,distance_sma_50_pct,rs_ratio,rs_ratio_sma_50,rs_distance_sma_50_pct,rs_return_20d_pct,rs_above_50dma,setup_score,setup_quality,primary_setup,setup_tags,setup_pivot_level,setup_breakout_date,setup_volume_ratio,setup_retest_gap_pct,setup_flag_depth_pct,setup_impulse_return_pct,setup_neckline_level,setup_commentary,rotation_signal,rotation_score
ARE&M,Amara Raja Energy & Mobility Ltd.,ARE&M.NS,Automobile and Auto Components,True,,NIFTY 500,^CRSLDX,2026-08-12,969.4,-0.09,3.25,8.97,5107453.0,1443496.0,3.54,4951165062.89,65.32,65.86,True,True,True,6.83,11.64,0.04095056,0.03757341,8.99,6.8,True,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",930.24,2026-08-11,9.46,3.44,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.9
CPPLUS,Aditya Infotech Ltd.,CPPLUS.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-08-12,3899.1,2.46,9.69,7.68,287304.0,187635.0,1.53,1120227054.46,66.16,53.09,True,True,True,8.64,9.73,0.16471046,0.15338852,7.38,5.52,True,3.9,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",3776.85,2026-08-12,1.6,0.18,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.77
KPIL,Kalpataru Projects International Ltd.,KPIL.NS,Construction,True,,NIFTY 500,^CRSLDX,2026-08-12,1396.8,3.64,8.87,7.51,3715011.0,307259.0,12.09,5189127546.2,66.5,43.24,True,True,True,6.71,5.27,0.0590053,0.05731822,2.94,5.36,True,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",1335.48,2026-08-12,28.32,0.96,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.77
SCHNEIDER,Schneider Electric Infrastructure Ltd.,SCHNEIDER.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-08-12,1431.9,2.04,5.87,7.19,417068.0,251057.0,1.66,597199679.38,59.3,51.25,True,True,True,6.27,8.0,0.06048804,0.05716623,5.81,5.04,True,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",1375.0,2026-08-10,4.21,0.36,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.71
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,FLUOROCHEM.NS,Chemicals,True,,NIFTY 500,^CRSLDX,2026-08-12,4565.8,3.39,1.51,16.36,978995.0,230444.0,4.25,4469895179.79,61.39,61.3,True,True,True,2.35,12.28,0.19287399,0.1755236,9.88,14.03,True,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal, flag, continuation, uptrend",3655.5,,,24.9,,,3655.5,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume. Secondary patterns: Bullish flag.,Strengthening with volume,7.69
BERGEPAINT,Berger Paints India Ltd.,BERGEPAINT.NS,Consumer Durables,True,,NIFTY 500,^CRSLDX,2026-08-12,559.8,4.65,2.68,15.32,1846894.0,457618.0,4.04,1033891238.65,67.73,69.0,True,True,True,9.0,9.48,0.02364774,0.02209115,7.05,13.02,True,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",541.07,,,3.46,,,541.07,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.69
MINDACORP,Minda Corporation Ltd.,MINDACORP.NS,Automobile and Auto Components,True,,NIFTY 500,^CRSLDX,2026-08-12,736.3,2.06,1.84,9.14,507666.0,275493.0,1.84,373794469.6,64.06,64.52,True,True,True,5.34,8.16,0.03110367,0.02940037,5.79,6.96,True,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",665.33,,,10.67,,,665.33,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.69
CARBORUNIV,Carborundum Universal Ltd.,CARBORUNIV.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-08-12,1154.2,-1.67,6.7,6.95,282308.0,183842.0,1.54,325839879.82,62.27,50.46,True,True,True,6.6,5.08,0.0487571,0.04735744,2.96,5.1,True,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",961.2,,,20.08,,,961.2,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.51
GRASIM,Grasim Industries Ltd.,GRASIM.NS,Construction Materials,True,,NIFTY 500,^CRSLDX,2026-08-12,3307.8,-0.43,2.92,6.58,2308366.0,707332.0,3.26,7635613167.51,60.35,57.41,True,True,True,4.3,5.24,0.13973206,0.13593957,2.79,4.45,True,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",2913.6,,,13.53,,,2913.6,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.38
SBIN,State Bank of India,SBIN.NS,Financial Services,True,,NIFTY 500,^CRSLDX,2026-08-12,1082.0,1.5,2.56,5.04,17669105.0,11521010.0,1.53,19117971610.0,61.96,60.39,True,True,True,3.66,4.83,0.04570714,0.04453986,2.62,3.23,True,3.81,Actionable watch,Breakout retest,"breakout, retest, pivot, volume",1062.58,2026-08-06,1.42,0.32,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle.,Strengthening with volume,7.28
HINDCOPPER,Hindustan Copper Ltd.,HINDCOPPER.NS,Metals & Mining,True,,NIFTY 500,^CRSLDX,2026-08-12,547.7,2.7,2.6,11.51,36895851.0,7515904.0,4.91,20207858043.09,66.73,67.94,True,True,True,9.21,8.98,0.0231366,0.02177559,6.25,9.59,True,2.2,Watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",582.17,,,5.92,,,582.17,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.27
CHENNPETRO,Chennai Petroleum Corporation Ltd.,CHENNPETRO.NS,Oil Gas & Consumable Fuels,True,,NIFTY 500,^CRSLDX,2026-08-12,1379.5,-3.27,10.41,24.41,2823483.0,3114927.0,0.91,3894994798.5,65.76,61.17,True,True,True,12.62,20.16,0.05827449,0.04967952,17.3,22.26,True,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",1352.5,2026-08-11,7.68,1.3,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
GABRIEL,Gabriel India Ltd.,GABRIEL.NS,Automobile and Auto Components,True,,NIFTY 500,^CRSLDX,2026-08-12,1476.8,-1.43,-6.79,18.52,188740.0,933980.0,0.2,278731241.22,57.62,71.52,True,True,True,2.46,15.63,0.06238476,0.05501528,13.4,16.15,True,4.77,Actionable watch,High-tight flag,"flag, continuation, uptrend, high-tight, inverse-head-and-shoulders, base, reversal",1584.42,2026-08-05,0.52,,8.37,61.85,,Price has made a sharp impulse move and is now consolidating near the highs. A controlled pullback with quieter volume keeps the continuation setup alive. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
SIEMENS,Siemens Ltd.,SIEMENS.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-08-12,4019.0,0.2,0.98,15.05,716326.0,450594.0,1.59,2878914194.0,71.47,73.55,True,True,True,6.45,9.77,0.16977542,0.15844117,7.15,12.76,True,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume",3886.2,2026-08-04,3.16,2.71,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle.,Strengthening with volume,7.1
PNB,Punjab National Bank,PNB.NS,Financial Services,True,,NIFTY 500,^CRSLDX,2026-08-12,118.98,4.34,4.78,12.55,51232092.0,20265490.0,2.53,6095594478.14,74.16,65.54,True,True,True,6.19,9.7,0.0050261,0.0046827,7.33,10.61,True,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume",109.46,2026-07-20,7.47,3.89,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle.,Strengthening with volume,7.1
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA.NS,Automobile and Auto Components,True,,NIFTY 500,^CRSLDX,2026-08-12,2613.4,-0.06,0.91,10.8,38254.0,174748.0,0.22,99972999.86,64.93,65.79,True,True,True,6.57,6.13,0.11039837,0.1062753,3.88,8.89,True,4.63,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",2584.21,2026-06-19,1.46,0.82,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
POWERINDIA,Hitachi Energy India Ltd.,POWERINDIA.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-08-12,35800.0,2.29,10.49,10.19,180547.0,147738.0,1.22,6463582600.0,63.13,49.32,True,True,True,9.69,6.57,1.51230655,1.45502229,3.94,7.99,True,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume",35305.0,2026-08-10,6.26,1.4,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle.,Strengthening,7.1
NAVINFLUOR,Navin Fluorine International Ltd.,NAVINFLUOR.NS,Chemicals,True,,NIFTY 500,^CRSLDX,2026-08-12,8356.5,2.46,9.82,10.16,290839.0,355280.0,0.82,2430396103.5,61.97,51.35,True,True,True,7.0,10.4,0.3530053,0.32677921,8.03,7.96,True,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, flag, continuation, uptrend, inverse-head-and-shoulders, base, reversal",7873.0,2026-08-06,31.89,3.21,,,,"Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Bullish flag, Possible inverse H&S.",Strengthening,7.1
VIJAYA,Vijaya Diagnostic Centre Ltd.,VIJAYA.NS,Healthcare,True,,NIFTY 500,^CRSLDX,2026-08-12,1510.6,5.77,8.71,9.26,1399770.0,271085.0,5.16,2114492527.83,71.14,58.33,True,True,True,10.35,12.07,0.06381258,0.05825675,9.54,7.07,True,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume",1418.18,2026-08-12,6.67,0.21,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle.,Strengthening with volume,7.1
KALYANKJIL,Kalyan Jewellers India Ltd.,KALYANKJIL.NS,Consumer Durables,True,,NIFTY 500,^CRSLDX,2026-08-12,596.7,-0.91,4.78,8.87,9246234.0,26258674.0,0.35,5517227940.67,61.71,58.6,True,True,True,0.76,26.25,0.02520652,0.02035582,23.83,6.99,True,4.8,Actionable watch,High-tight flag,"flag, continuation, uptrend, high-tight, inverse-head-and-shoulders, base, reversal",634.6,2026-07-30,0.73,,13.07,91.84,,Price has made a sharp impulse move and is now consolidating near the highs. A controlled pullback with quieter volume keeps the continuation setup alive. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
CONCORDBIO,Concord Biotech Ltd.,CONCORDBIO.NS,Healthcare,True,,NIFTY 500,^CRSLDX,2026-08-12,1444.7,1.11,4.31,8.55,93615.0,159546.0,0.59,135245585.93,67.42,61.42,True,True,True,7.2,9.82,0.06102875,0.05676987,7.5,6.67,True,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",1382.08,2026-07-31,5.79,3.06,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
TECHM,Tech Mahindra Ltd.,TECHM.NS,Information Technology,True,,NIFTY 500,^CRSLDX,2026-08-12,1625.0,-1.1,-1.52,8.43,3745992.0,3292881.0,1.14,6087237000.0,61.9,71.3,True,True,True,0.9,8.57,0.0686452,0.06469217,6.11,6.56,True,3.88,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, flag, continuation, uptrend, inverse-head-and-shoulders, base, reversal",1616.6,2026-07-30,1.55,0.34,,,,"Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Bullish flag, Possible inverse H&S.",Strengthening,7.06
PTCIL,PTC Industries Ltd.,PTCIL.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-08-12,18895.0,-0.06,4.44,7.77,6810.0,17058.0,0.4,128674950.0,63.36,57.19,True,True,True,4.24,5.2,0.79818526,0.77893239,2.47,5.62,True,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",18417.86,2026-08-07,7.32,1.64,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening,7.02
INDIANB,Indian Bank,INDIANB.NS,Financial Services,True,,NIFTY 500,^CRSLDX,2026-08-12,897.0,2.44,5.04,7.62,2076093.0,1932527.0,1.07,1862255421.0,65.88,57.64,True,True,True,5.74,6.99,0.03789215,0.03624833,4.53,5.47,True,4.64,Actionable watch,Breakout retest,"breakout, retest, pivot, volume",872.49,2026-08-07,1.49,0.07,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle.,Strengthening,6.99
BAJFINANCE,Bajaj Finance Ltd.,BAJFINANCE.NS,Financial Services,True,,NIFTY 500,^CRSLDX,2026-08-12,1094.2,0.08,-5.57,7.14,7049029.0,10612382.0,0.66,7713047187.61,55.55,75.2,True,True,True,1.04,8.07,0.04622251,0.04362612,5.95,5.29,True,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, flag, continuation, uptrend, inverse-head-and-shoulders, base, reversal",1050.62,2026-07-31,4.88,2.8,,,,"Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Bullish flag, Possible inverse H&S.",Strengthening,6.96
TBOTEK,TBO Tek Ltd.,TBOTEK.NS,Consumer Services,True,,NIFTY 500,^CRSLDX,2026-08-12,1596.6,-2.63,-4.25,10.61,91821.0,292995.0,0.31,146601406.36,58.46,72.17,True,True,True,4.28,9.43,0.06744549,0.0628366,7.33,8.4,True,3.5,Actionable watch,Bullish flag,"flag, continuation, uptrend, inverse-head-and-shoulders, base, reversal",1667.5,2026-08-05,0.67,,4.87,40.23,,Price has made a sharp impulse move and is now consolidating near the highs. A controlled pullback with quieter volume keeps the continuation setup alive. Secondary patterns: Possible inverse H&S.,Strengthening,6.92
HEG,H.E.G. Ltd.,HEG.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-08-12,674.35,-0.58,-1.73,19.72,861841.0,2811231.0,0.31,581182457.31,66.77,75.26,True,True,True,4.62,17.1,0.0284867,0.02491125,14.35,17.33,True,3.43,Actionable watch,Bullish flag,"flag, continuation, uptrend, inverse-head-and-shoulders, base, reversal",686.2,2026-08-05,0.6,,2.72,34.78,,Price has made a sharp impulse move and is now consolidating near the highs. A controlled pullback with quieter volume keeps the continuation setup alive. Secondary patterns: Possible inverse H&S.,Strengthening,6.9
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,M&MFIN.NS,Financial Services,True,,NIFTY 500,^CRSLDX,2026-08-12,395.85,-0.74,-0.64,21.76,4491838.0,7170526.0,0.63,1778094099.72,62.79,72.16,True,True,True,5.87,19.71,0.01672197,0.01425239,17.33,19.33,True,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",371.6,,,6.53,,,371.6,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening,6.89
