symbol,name,ticker,sector,downloaded,download_note,source_index,benchmark_ticker,last_date,last,return_1d_pct,return_5d_pct,return_20d_pct,volume,avg_volume_20,volume_ratio_20d,turnover_proxy,rsi_14,rsi_5d_ago,above_sma_10,above_sma_20,above_sma_50,above_sma_100,above_sma_200,distance_sma_20_pct,distance_sma_50_pct,ma200_roc20_pct,supertrend_bullish,new_high20,within_3pct_ath,at_ath,rs_acceleration_pct,rs_ratio,rs_ratio_sma_50,rs_distance_sma_50_pct,rs_return_20d_pct,rs_above_50dma,trend_raw,breakout_raw,volume_raw,setup_score,setup_quality,primary_setup,setup_tags,setup_pivot_level,setup_breakout_date,setup_volume_ratio,setup_retest_gap_pct,setup_flag_depth_pct,setup_impulse_return_pct,setup_neckline_level,setup_commentary,rotation_signal,rotation_score
ADANIENT,Adani Enterprises Ltd.,ADANIENT.NS,Metals & Mining,True,,NIFTY 500,^CRSLDX,2026-09-09,3104.7,5.13,7.36,3.99,5320594.0,2092184.0,2.54,16518848191.8,58.77,38.71,True,True,True,True,True,3.47,1.65,2.58,False,False,False,False,14.09,0.13522949,0.13062829,3.52,7.22,True,1.0,0.0,2.54,4.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",3051.57,2026-08-25,1.99,1.74,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.9
AEGISVOPAK,Aegis Vopak Terminals Ltd.,AEGISVOPAK.NS,Oil Gas & Consumable Fuels,True,,NIFTY 500,^CRSLDX,2026-09-09,297.65,2.41,3.96,8.81,1911786.0,855240.0,2.24,569043102.9,65.12,58.87,True,True,True,True,True,8.16,6.12,0.45,False,True,True,False,16.85,0.01296456,0.01199766,8.06,12.19,True,1.0,1.0,2.24,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",244.72,,,21.63,,,244.72,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.69
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,Services,True,,NIFTY 500,^CRSLDX,2026-09-09,1775.0,3.8,6.12,6.61,5527528.0,2438556.0,2.27,9811362200.0,60.54,45.98,True,True,True,True,True,5.02,2.02,1.25,False,True,False,False,20.46,0.07731257,0.07443032,3.87,9.92,True,1.0,0.5,2.27,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",1688.0,,,5.15,,,1688.0,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.69
AEGISLOG,Aegis Logistics Ltd.,AEGISLOG.NS,Oil Gas & Consumable Fuels,True,,NIFTY 500,^CRSLDX,2026-09-09,1343.4,5.94,8.18,6.24,2121597.0,844461.0,2.51,2850153409.8,55.74,43.93,True,True,True,True,True,3.28,2.32,6.38,False,False,False,False,15.48,0.05851364,0.05614635,4.22,9.54,True,1.0,0.0,2.51,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal, flag, continuation, uptrend",761.75,,,76.36,,,761.75,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume. Secondary patterns: Bullish flag.,Strengthening with volume,7.69
MEDANTA,Global Health Ltd.,MEDANTA.NS,Healthcare,True,,NIFTY 500,^CRSLDX,2026-09-09,1480.4,3.63,2.46,6.24,565564.0,297975.0,1.9,837260945.6,57.33,53.67,True,True,True,True,True,2.89,5.57,1.83,False,False,True,False,7.23,0.06448086,0.05996742,7.53,9.54,True,1.0,0.5,1.9,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",1210.6,,,22.29,,,1210.6,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.69
PCBL,PCBL Chemical Ltd.,PCBL.NS,Chemicals,True,,NIFTY 500,^CRSLDX,2026-09-09,334.95,1.87,6.23,5.85,6364541.0,1555308.0,4.09,2131803007.95,61.37,45.99,True,True,True,True,True,4.57,4.28,-0.53,False,True,False,False,11.03,0.01458921,0.01373707,6.2,9.14,True,0.6666666666666666,0.5,4.09,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",321.82,,,4.08,,,321.82,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.69
FINCABLES,Finolex Cables Ltd.,FINCABLES.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-09-09,1353.4,3.92,13.62,5.73,2871412.0,1086129.0,2.64,3886169000.8,63.97,48.87,True,True,True,True,True,6.14,19.3,5.61,False,True,True,True,-12.2,0.0589492,0.04850863,21.52,9.02,True,1.0,1.0,2.64,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",1225.0,,,10.48,,,1225.0,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.69
NAVINFLUOR,Navin Fluorine International Ltd.,NAVINFLUOR.NS,Chemicals,True,,NIFTY 500,^CRSLDX,2026-09-09,8775.5,0.51,2.73,5.01,294169.0,130958.0,2.25,2581480059.5,64.93,61.33,True,True,True,True,True,3.9,9.38,3.83,False,True,True,True,0.48,0.382229,0.34310735,11.4,8.28,True,1.0,1.0,2.25,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",6933.0,,,26.58,,,6933.0,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.69
HAL,Hindustan Aeronautics Ltd.,HAL.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-09-09,5000.5,-0.61,4.61,0.11,1669937.0,951085.0,1.76,8350519968.5,61.99,45.96,True,True,True,True,True,1.56,5.84,0.67,False,False,True,False,-7.82,0.21780367,0.20202165,7.81,3.22,True,1.0,0.5,1.76,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",4541.5,,,10.11,,,4541.5,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.13
COFORGE,Coforge Ltd.,COFORGE.NS,Information Technology,True,,NIFTY 500,^CRSLDX,2026-09-09,1845.0,-5.38,-6.14,2.41,10837239.0,2443803.0,4.43,19994705955.0,48.6,68.69,False,False,True,True,True,-2.85,7.24,0.45,False,False,False,False,-9.87,0.08036152,0.07355,9.26,5.6,True,1.0,0.0,4.43,3.99,Actionable watch,High-tight flag,"flag, continuation, uptrend, high-tight, inverse-head-and-shoulders, base, reversal",2014.6,2026-08-28,1.03,,13.14,46.98,,Price has made a sharp impulse move and is now consolidating near the highs. A controlled pullback with quieter volume keeps the continuation setup alive. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.12
CGCL,Capri Global Capital Ltd.,CGCL.NS,Financial Services,True,,NIFTY 500,^CRSLDX,2026-09-09,272.4,0.61,6.16,19.08,3036249.0,7548986.0,0.4,827074227.6,64.37,61.4,True,True,True,True,True,10.01,11.98,2.8,False,False,True,False,35.72,0.01186476,0.01040729,14.0,22.78,True,1.0,0.5,0.4,4.92,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",261.71,2026-09-03,2.04,2.36,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
IDEA,Vodafone Idea Ltd.,IDEA.NS,Telecommunication,True,,NIFTY 500,^CRSLDX,2026-09-09,15.52,0.65,6.81,14.96,539161681.0,494515161.0,1.09,8367789289.12,66.09,57.6,True,True,True,True,True,6.88,11.92,3.76,False,False,True,False,21.48,0.00067599,0.00059321,13.96,18.54,True,1.0,0.5,1.09,4.59,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",15.32,2026-09-07,1.37,0.78,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
NIACL,The New India Assurance Company Ltd.,NIACL.NS,Financial Services,True,,NIFTY 500,^CRSLDX,2026-09-09,205.51,0.14,3.21,13.49,10799389.0,11063810.0,0.98,2219382433.39,57.78,67.63,True,True,True,True,True,6.66,12.02,0.99,False,False,False,False,18.17,0.00895127,0.00784723,14.07,17.01,True,1.0,0.0,0.98,4.3,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",188.24,2026-08-31,9.17,6.98,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
SARDAEN,Sarda Energy and Minerals Ltd.,SARDAEN.NS,Metals & Mining,True,,NIFTY 500,^CRSLDX,2026-09-09,545.85,5.0,11.16,11.52,5268817.0,1798434.0,2.93,2875983759.45,68.14,39.14,True,True,True,True,True,6.49,7.75,0.13,False,True,False,False,17.98,0.02377525,0.02166622,9.73,14.99,True,0.6666666666666666,0.5,2.93,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume",533.53,2026-09-09,3.41,2.31,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle.,Strengthening with volume,7.1
CARTRADE,Cartrade Tech Ltd.,CARTRADE.NS,Consumer Services,True,,NIFTY 500,^CRSLDX,2026-09-09,3027.1,-4.71,3.23,11.51,261277.0,434223.0,0.6,790911606.7,54.68,52.56,False,True,True,True,True,1.42,5.64,-0.38,False,False,False,False,19.98,0.13184951,0.12255225,7.59,14.98,True,0.6666666666666666,0.0,0.6,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",2864.35,2026-08-21,3.41,5.12,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
CAPLIPOINT,Caplin Point Laboratories Ltd.,CAPLIPOINT.NS,Healthcare,True,,NIFTY 500,^CRSLDX,2026-09-09,2723.1,-1.7,0.1,10.14,117200.0,240082.0,0.49,319147320.0,58.0,64.18,True,True,True,True,True,4.44,5.15,3.43,False,False,False,False,21.81,0.11860837,0.11077598,7.07,13.56,True,1.0,0.0,0.49,4.08,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",2680.28,2026-09-02,1.96,1.02,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
TEJASNET,Tejas Networks Ltd.,TEJASNET.NS,Telecommunication,True,,NIFTY 500,^CRSLDX,2026-09-09,575.9,-2.4,4.93,9.23,2049808.0,5285136.0,0.39,1180484427.2,58.41,57.62,True,True,True,True,True,6.43,7.23,0.66,False,False,False,False,18.43,0.02508412,0.02297321,9.19,12.62,True,1.0,0.0,0.39,4.16,Actionable watch,Breakout retest,"breakout, retest, pivot, volume",551.05,2026-08-31,2.12,4.16,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle.,Strengthening,7.1
ZYDUSWELL,Zydus Wellness Ltd.,ZYDUSWELL.NS,Fast Moving Consumer Goods,True,,NIFTY 500,^CRSLDX,2026-09-09,554.2,-0.71,3.67,9.19,195180.0,593472.0,0.33,108168756.0,58.96,52.77,True,True,True,True,True,5.9,1.05,1.64,False,False,False,False,26.0,0.02413894,0.02346301,2.88,12.59,True,1.0,0.0,0.33,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",543.03,2026-09-07,31.87,1.54,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
DATAPATTNS,Data Patterns (India) Ltd.,DATAPATTNS.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-09-09,4883.2,-1.0,8.11,8.73,682371.0,866744.0,0.79,3332154067.2,61.19,48.45,True,True,True,True,True,4.97,8.57,5.01,False,False,True,False,6.77,0.21269451,0.19236862,10.57,12.11,True,1.0,0.5,0.79,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",4722.77,2026-08-21,2.77,2.61,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
CHALET,Chalet Hotels Ltd.,CHALET.NS,Consumer Services,True,,NIFTY 500,^CRSLDX,2026-09-09,889.7,-0.9,-0.92,8.21,87296.0,225546.0,0.39,77667251.2,56.45,63.79,False,True,True,True,True,1.32,4.38,-0.18,False,False,False,False,17.67,0.03875211,0.03645708,6.3,11.57,True,0.6666666666666666,0.0,0.39,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",873.48,2026-08-25,8.89,1.32,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
ACMESOLAR,ACME Solar Holdings Ltd.,ACMESOLAR.NS,Power,True,,NIFTY 500,^CRSLDX,2026-09-09,401.6,-2.67,0.84,7.78,862025.0,2215242.0,0.39,346189240.0,55.28,58.07,False,True,True,True,True,1.67,5.05,5.44,False,False,False,False,17.76,0.01749224,0.01635135,6.98,11.13,True,1.0,0.0,0.39,4.94,Actionable watch,Breakout retest,"breakout, retest, pivot, volume",395.95,2026-08-21,2.09,1.28,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle.,Strengthening,7.1
SAIL,Steel Authority of India Ltd.,SAIL.NS,Metals & Mining,True,,NIFTY 500,^CRSLDX,2026-09-09,186.4,0.16,-5.14,7.13,13768193.0,26211542.0,0.53,2566391175.2,53.11,67.04,False,True,True,True,True,0.92,6.85,2.89,False,False,False,False,6.6,0.00811891,0.00746067,8.82,10.46,True,1.0,0.0,0.53,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, flag, continuation, uptrend, inverse-head-and-shoulders, base, reversal",176.29,2026-08-24,2.73,5.14,,,,"Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Bullish flag, Possible inverse H&S.",Strengthening,7.1
LTFOODS,LT Foods Ltd.,LTFOODS.NS,Fast Moving Consumer Goods,True,,NIFTY 500,^CRSLDX,2026-09-09,453.55,-0.37,2.51,6.29,485637.0,2739840.0,0.18,220260661.35,63.66,59.22,True,True,True,True,True,3.38,10.3,0.76,False,False,False,False,1.14,0.019755,0.01758304,12.35,9.6,True,1.0,0.0,0.18,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, flag, continuation, uptrend, inverse-head-and-shoulders, base, reversal",436.1,2026-08-24,47.94,2.99,,,,"Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Bullish flag, Possible inverse H&S.",Strengthening,7.1
ECLERX,eClerx Services Ltd.,ECLERX.NS,Services,True,,NIFTY 500,^CRSLDX,2026-09-09,1922.6,-1.16,-4.09,6.21,89506.0,235493.0,0.38,172084235.6,54.23,66.23,False,True,True,True,True,1.17,5.57,-1.95,False,False,False,False,5.7,0.08374149,0.07788335,7.52,9.51,True,0.6666666666666666,0.0,0.38,4.64,Actionable watch,High-tight flag,"flag, continuation, uptrend, high-tight, inverse-head-and-shoulders, base, reversal",2004.5,2026-09-02,0.44,,7.88,51.29,,Price has made a sharp impulse move and is now consolidating near the highs. A controlled pullback with quieter volume keeps the continuation setup alive. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
JSL,Jindal Stainless Ltd.,JSL.NS,Metals & Mining,True,,NIFTY 500,^CRSLDX,2026-09-09,783.3,6.03,6.59,6.15,6366585.0,768781.0,8.28,4986946030.5,73.36,57.08,True,True,True,True,True,7.84,8.06,-0.31,False,True,False,False,9.33,0.03411771,0.0310013,10.05,9.45,True,0.3333333333333333,0.5,8.28,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",748.87,2026-09-09,13.41,2.39,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.1
