symbol,name,ticker,sector,downloaded,download_note,source_index,benchmark_ticker,last_date,last,return_1d_pct,return_5d_pct,return_20d_pct,volume,avg_volume_20,volume_ratio_20d,turnover_proxy,rsi_14,rsi_5d_ago,above_sma_10,above_sma_20,above_sma_50,above_sma_100,above_sma_200,distance_sma_20_pct,distance_sma_50_pct,ma200_roc20_pct,supertrend_bullish,new_high20,within_3pct_ath,at_ath,rs_acceleration_pct,rs_ratio,rs_ratio_sma_50,rs_distance_sma_50_pct,rs_return_20d_pct,rs_above_50dma,trend_raw,breakout_raw,volume_raw,setup_score,setup_quality,primary_setup,setup_tags,setup_pivot_level,setup_breakout_date,setup_volume_ratio,setup_retest_gap_pct,setup_flag_depth_pct,setup_impulse_return_pct,setup_neckline_level,setup_commentary,rotation_signal,rotation_score
CHENNPETRO,Chennai Petroleum Corporation Ltd.,CHENNPETRO.NS,Oil Gas & Consumable Fuels,True,,NIFTY 500,^CRSLDX,2026-08-21,1393.5,0.22,5.42,19.71,882859.0,2796213.0,0.32,1230264016.5,61.5,59.21,True,True,True,True,True,7.89,17.75,5.53,False,False,False,False,5.39,0.05922151,0.05077622,16.63,16.57,True,1.0,0.0,0.32,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume",1352.5,2026-08-11,7.68,2.63,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle.,Strengthening,7.1
INDGN,Indegene Ltd.,INDGN.NS,Healthcare,True,,NIFTY 500,^CRSLDX,2026-08-21,567.8,0.19,2.16,15.76,364708.0,794074.0,0.46,207081197.95,64.52,60.75,True,True,True,True,True,3.6,8.22,0.09,False,False,True,False,16.8,0.02413059,0.02249924,7.25,12.72,True,1.0,0.5,0.46,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",542.3,2026-08-04,3.3,4.06,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
TATATECH,Tata Technologies Ltd.,TATATECH.NS,Information Technology,True,,NIFTY 500,^CRSLDX,2026-08-21,820.75,-0.39,-5.43,15.44,611985.0,2358722.0,0.26,502286688.75,55.54,68.83,False,True,True,True,True,1.92,7.7,1.85,False,False,False,False,16.57,0.03488056,0.03268679,6.71,12.41,True,1.0,0.0,0.26,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, flag, continuation, uptrend, inverse-head-and-shoulders, base, reversal",778.02,2026-08-06,9.07,4.77,,,,"Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Bullish flag, Possible inverse H&S.",Strengthening,7.1
IFCI,IFCI Ltd.,IFCI.NS,Financial Services,True,,NIFTY 500,^CRSLDX,2026-08-21,80.91,-1.04,5.16,15.39,12862920.0,22494905.0,0.57,1040738904.31,62.36,55.95,True,True,True,True,True,6.36,5.21,3.22,False,False,False,False,20.5,0.00343855,0.00330718,3.97,12.36,True,1.0,0.0,0.57,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",79.13,2026-08-18,2.95,1.98,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
VIJAYA,Vijaya Diagnostic Centre Ltd.,VIJAYA.NS,Healthcare,True,,NIFTY 500,^CRSLDX,2026-08-21,1504.4,0.4,2.06,14.5,97322.0,228062.0,0.43,146411219.18,65.61,63.9,True,True,True,True,True,5.85,9.42,3.92,False,False,True,False,14.6,0.06393459,0.05891414,8.52,11.5,True,1.0,0.5,0.43,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, flag, continuation, uptrend",1418.18,2026-08-12,6.55,4.67,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Bullish flag.,Strengthening,7.1
CLEAN,Clean Science and Technology Ltd.,CLEAN.NS,Chemicals,True,,NIFTY 500,^CRSLDX,2026-08-21,825.5,-1.1,0.49,14.49,255282.0,568158.0,0.45,210735291.0,59.91,63.78,True,True,True,True,True,4.75,6.18,-3.04,False,False,False,False,18.13,0.03508242,0.03334908,5.2,11.49,True,0.3333333333333333,0.0,0.45,4.74,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",808.31,2026-08-13,1.68,1.69,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
JINDALSAW,Jindal Saw Ltd.,JINDALSAW.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-08-21,291.65,8.12,9.19,14.22,16802060.0,1809489.0,9.29,4900320696.45,69.82,53.31,True,True,True,True,True,9.53,10.8,3.89,False,True,True,True,12.42,0.01239466,0.01127398,9.94,11.22,True,1.0,1.0,9.29,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume",279.98,2026-08-21,16.46,3.19,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle.,Strengthening with volume,7.1
LTFOODS,LT Foods Ltd.,LTFOODS.NS,Fast Moving Consumer Goods,True,,NIFTY 500,^CRSLDX,2026-08-21,427.6,-0.79,2.1,14.12,455737.0,873830.0,0.52,194873143.98,64.55,62.71,True,True,True,True,True,3.63,8.7,0.05,False,False,False,False,12.85,0.01817231,0.01686898,7.73,11.13,True,0.6666666666666666,0.0,0.52,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume",436.1,2026-08-24,17.25,1.95,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle.,Strengthening,7.1
KEI,KEI Industries Ltd.,KEI.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-08-21,5527.6,-2.6,-3.02,13.55,289585.0,528655.0,0.55,1600710074.28,53.54,68.67,False,True,True,True,True,1.65,3.95,2.79,False,False,False,False,17.36,0.23491413,0.22821404,2.94,10.57,True,1.0,0.0,0.55,4.76,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, flag, continuation, uptrend, inverse-head-and-shoulders, base, reversal",5392.43,2026-06-17,1.72,1.28,,,,"Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Bullish flag, Possible inverse H&S.",Strengthening,7.1
BEML,BEML Ltd.,BEML.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-08-21,1935.4,-1.4,3.25,12.97,237504.0,473850.0,0.5,459665247.4,61.64,58.77,True,True,True,True,True,5.59,7.01,-1.94,False,False,False,False,11.18,0.08225139,0.07762248,5.96,10.01,True,0.6666666666666666,0.0,0.5,4.77,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",1892.39,2026-08-18,1.73,1.89,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
