symbol,name,ticker,sector,downloaded,download_note,source_index,benchmark_ticker,last_date,last,return_1d_pct,return_5d_pct,return_20d_pct,volume,avg_volume_20,volume_ratio_20d,turnover_proxy,rsi_14,rsi_5d_ago,above_sma_10,above_sma_20,above_sma_50,above_sma_100,above_sma_200,distance_sma_20_pct,distance_sma_50_pct,ma200_roc20_pct,supertrend_bullish,new_high20,within_3pct_ath,at_ath,rs_acceleration_pct,rs_ratio,rs_ratio_sma_50,rs_distance_sma_50_pct,rs_return_20d_pct,rs_above_50dma,trend_raw,breakout_raw,volume_raw,setup_score,setup_quality,primary_setup,setup_tags,setup_pivot_level,setup_breakout_date,setup_volume_ratio,setup_retest_gap_pct,setup_flag_depth_pct,setup_impulse_return_pct,setup_neckline_level,setup_commentary,rotation_signal,rotation_score
ENGINERSIN,Engineers India Ltd.,ENGINERSIN.NS,Construction,True,,NIFTY 500,^CRSLDX,2026-09-21,285.25,7.1,6.06,11.94,10639611.0,6160965.0,1.73,3034949037.75,67.39,58.51,True,True,True,True,True,6.45,15.23,3.27,False,True,True,True,20.29,0.0124781,0.01056856,18.07,23.69,True,1.0,1.0,1.73,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume",265.53,2026-09-01,18.69,1.02,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle.,Strengthening with volume,7.9
AEGISLOG,Aegis Logistics Ltd.,AEGISLOG.NS,Oil Gas & Consumable Fuels,True,,NIFTY 500,^CRSLDX,2026-09-21,1486.0,4.99,9.78,10.77,1793245.0,919900.0,1.95,2664762070.0,65.57,56.11,True,True,True,True,True,12.73,12.35,6.6,False,True,True,True,18.98,0.06500423,0.05658668,14.88,14.39,True,1.0,1.0,1.95,4.92,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",1435.67,2026-09-21,2.05,1.34,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.9
USHAMART,Usha Martin Ltd.,USHAMART.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-09-21,533.9,5.26,7.97,8.83,3336342.0,1158728.0,2.88,1781272993.8,66.63,46.41,True,True,True,True,True,7.05,6.67,1.48,False,True,True,True,13.2,0.02335515,0.02149427,8.66,10.79,True,1.0,1.0,2.88,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume",519.37,2026-09-21,3.31,2.73,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle.,Strengthening with volume,7.9
PCBL,PCBL Chemical Ltd.,PCBL.NS,Chemicals,True,,NIFTY 500,^CRSLDX,2026-09-21,344.35,2.27,4.02,7.21,3337001.0,1669948.0,2.0,1149096294.35,63.05,57.4,True,True,True,True,True,6.07,6.36,0.09,False,True,False,False,12.91,0.0150634,0.01387005,8.6,10.73,True,1.0,0.5,2.0,4.96,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",332.37,2026-09-21,2.13,1.09,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.9
EMMVEE,Emmvee Photovoltaic Power Ltd.,EMMVEE.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-09-21,340.6,3.84,-1.56,4.72,11448479.0,2352498.0,4.87,3899351947.4,57.87,65.41,True,True,True,True,True,3.22,4.02,4.47,False,False,False,False,8.06,0.01489935,0.01403704,6.14,7.59,True,1.0,0.0,4.87,4.3,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",338.4,2026-09-10,3.08,0.65,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.9
LENSKART,Lenskart Solutions Ltd.,LENSKART.NS,Consumer Services,True,,NIFTY 500,^CRSLDX,2026-09-21,683.85,-3.3,0.31,3.65,44904580.0,14869475.0,3.02,30707997033.0,59.93,69.25,False,True,True,True,True,1.32,10.69,5.25,False,False,False,False,-7.4,0.02991463,0.02625335,13.95,7.42,True,1.0,0.0,3.02,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",540.15,,,26.6,,,540.15,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.69
KPIL,Kalpataru Projects International Ltd.,KPIL.NS,Construction,True,,NIFTY 500,^CRSLDX,2026-09-21,1439.1,-0.44,0.24,3.61,270284.0,152023.0,1.78,388965704.4,59.36,62.88,True,True,True,True,True,2.11,5.76,1.77,False,False,True,False,2.17,0.06295262,0.05823713,8.1,6.67,True,1.0,0.5,1.78,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",1262.25,,,14.01,,,1262.25,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.69
MANKIND,Mankind Pharma Ltd.,MANKIND.NS,Healthcare,True,,NIFTY 500,^CRSLDX,2026-09-21,2437.8,5.96,6.92,2.67,1342757.0,396608.0,3.39,3273373014.6,60.27,37.54,True,True,True,True,True,4.45,0.73,0.54,False,True,False,False,13.98,0.10664019,0.10413821,2.4,5.13,True,1.0,0.5,3.39,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",2303.55,,,5.83,,,2303.55,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.52
HOMEFIRST,Home First Finance Company India Ltd.,HOMEFIRST.NS,Financial Services,True,,NIFTY 500,^CRSLDX,2026-09-21,1257.7,1.32,6.18,5.43,492496.0,249562.0,1.97,619412219.2,65.15,46.48,True,True,True,True,True,4.79,4.93,0.52,False,True,False,False,12.41,0.05501738,0.05149174,6.85,8.95,True,1.0,0.5,1.97,2.74,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",1252.35,,,0.43,,,1252.35,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.46
INDHOTEL,Indian Hotels Co. Ltd.,INDHOTEL.NS,Consumer Services,True,,NIFTY 500,^CRSLDX,2026-09-21,745.0,1.67,3.69,2.21,2983659.0,1792548.0,1.66,2222825955.0,61.42,47.18,True,True,True,True,True,3.07,2.32,-0.11,False,True,False,False,4.8,0.03258961,0.03126114,4.25,4.14,True,0.6666666666666666,0.5,1.66,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",691.35,,,7.76,,,691.35,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.32
