symbol,name,ticker,sector,downloaded,download_note,source_index,benchmark_ticker,last_date,last,return_1d_pct,return_5d_pct,return_20d_pct,volume,avg_volume_20,volume_ratio_20d,turnover_proxy,rsi_14,rsi_5d_ago,above_sma_20,above_sma_50,above_sma_200,distance_sma_20_pct,distance_sma_50_pct,rs_ratio,rs_ratio_sma_50,rs_distance_sma_50_pct,rs_return_20d_pct,rs_above_50dma,setup_score,setup_quality,primary_setup,setup_tags,setup_pivot_level,setup_breakout_date,setup_volume_ratio,setup_retest_gap_pct,setup_flag_depth_pct,setup_impulse_return_pct,setup_neckline_level,setup_commentary,rotation_signal,rotation_score
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,FLUOROCHEM.NS,Chemicals,True,,NIFTY 500,^CRSLDX,2026-08-14,4737.8,0.49,4.86,14.67,476412.0,272533.0,1.75,2257144680.55,67.33,61.6,True,True,True,5.02,15.66,0.20079762,0.17658117,13.71,13.06,True,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",4651.1,2026-08-13,5.5,1.34,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.9
SOLARINDS,Solar Industries India Ltd.,SOLARINDS.NS,Chemicals,True,,NIFTY 500,^CRSLDX,2026-08-14,19969.0,-1.75,7.07,8.2,487300.0,133649.0,3.65,9730893700.0,67.01,55.19,True,True,True,6.53,9.24,0.84632695,0.78936807,7.22,7.01,True,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume",18896.4,2026-08-13,8.39,3.09,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle.,Strengthening with volume,7.9
BERGEPAINT,Berger Paints India Ltd.,BERGEPAINT.NS,Consumer Durables,True,,NIFTY 500,^CRSLDX,2026-08-14,545.1,-0.23,2.74,11.7,891866.0,509557.0,1.75,486156134.83,59.93,59.43,True,True,True,4.95,6.14,0.02310245,0.02214974,4.3,10.13,True,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",515.9,,,5.66,,,515.9,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.69
ENGINERSIN,Engineers India Ltd.,ENGINERSIN.NS,Construction,True,,NIFTY 500,^CRSLDX,2026-08-14,243.68,1.29,1.28,7.04,7323054.0,2041656.0,3.59,1784481745.08,58.28,58.59,True,True,True,5.01,2.82,0.01032766,0.01021249,1.13,5.86,True,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",223.27,,,9.14,,,223.27,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.66
ELGIEQUIP,Elgi Equipments Ltd.,ELGIEQUIP.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-08-14,609.5,5.72,3.58,7.24,6006749.0,566211.0,10.61,3661113515.5,61.39,52.48,True,True,True,4.58,3.27,0.02583185,0.02550957,1.26,5.74,True,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",505.15,,,20.66,,,505.15,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.64
BHARTIARTL,Bharti Airtel Ltd.,BHARTIARTL.NS,Telecommunication,True,,NIFTY 500,^CRSLDX,2026-08-14,1992.1,2.73,1.64,5.68,12282326.0,6830222.0,1.8,24467621324.74,63.13,60.6,True,True,True,2.64,5.52,0.08442926,0.08136777,3.76,4.52,True,5.08,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",1933.87,2026-08-05,2.36,0.1,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.6
MINDACORP,Minda Corporation Ltd.,MINDACORP.NS,Automobile and Auto Components,True,,NIFTY 500,^CRSLDX,2026-08-14,720.05,1.24,-0.11,6.27,4747138.0,639516.0,7.42,3418176658.95,56.44,62.32,True,True,True,2.42,5.21,0.03051719,0.02948674,3.49,5.11,True,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",665.33,,,8.23,,,665.33,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.51
POONAWALLA,Poonawalla Fincorp Ltd.,POONAWALLA.NS,Financial Services,True,,NIFTY 500,^CRSLDX,2026-08-14,497.9,-0.95,3.72,4.32,2731188.0,1594551.0,1.71,1359858488.53,61.68,56.97,True,True,True,4.57,10.22,0.02110202,0.01942465,8.64,3.17,True,4.75,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",492.09,2026-08-13,1.7,0.13,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.33
ASAHIINDIA,Asahi India Glass Ltd.,ASAHIINDIA.NS,Automobile and Auto Components,True,,NIFTY 500,^CRSLDX,2026-08-14,939.2,4.24,4.51,6.58,643726.0,185508.0,3.47,604587467.06,62.96,52.71,True,True,True,5.09,6.05,0.03980521,0.03820862,4.18,5.41,True,2.2,Watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",989.0,,,5.04,,,989.0,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.15
REDINGTON,Redington Ltd.,REDINGTON.NS,Services,True,,NIFTY 500,^CRSLDX,2026-08-14,334.05,-3.45,-5.86,21.45,1569580.0,11077597.0,0.14,524318179.84,61.66,82.73,True,True,True,6.37,17.66,0.01415772,0.01218463,16.19,20.12,True,4.72,Actionable watch,High-tight flag,"flag, continuation, uptrend, high-tight, inverse-head-and-shoulders, base, reversal",354.85,2026-08-07,0.34,,6.67,57.99,,Price has made a sharp impulse move and is now consolidating near the highs. A controlled pullback with quieter volume keeps the continuation setup alive. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,M&MFIN.NS,Financial Services,True,,NIFTY 500,^CRSLDX,2026-08-14,390.1,-1.59,-4.49,20.33,1855402.0,7347367.0,0.25,723792331.52,58.34,69.77,True,True,True,1.6,15.72,0.01653323,0.01448697,14.12,19.01,True,4.66,Actionable watch,High-tight flag,"flag, continuation, uptrend, high-tight, inverse-head-and-shoulders, base, reversal",412.3,2026-08-10,0.5,,6.02,52.91,,Price has made a sharp impulse move and is now consolidating near the highs. A controlled pullback with quieter volume keeps the continuation setup alive. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
BALKRISIND,Balkrishna Industries Ltd.,BALKRISIND.NS,Automobile and Auto Components,True,,NIFTY 500,^CRSLDX,2026-08-14,2363.6,-1.93,-4.16,14.63,359886.0,573967.0,0.63,850626584.75,54.59,70.37,True,True,True,3.42,6.59,0.10017419,0.09551466,4.88,13.37,True,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, flag, continuation, uptrend, inverse-head-and-shoulders, base, reversal",2308.14,2026-07-31,9.07,1.82,,,,"Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Bullish flag, Possible inverse H&S.",Strengthening,7.1
POWERINDIA,Hitachi Energy India Ltd.,POWERINDIA.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-08-14,35700.0,0.96,9.51,11.3,113720.0,141623.0,0.8,4059804000.0,62.08,51.07,True,True,True,8.77,6.61,1.51303881,1.44761214,4.52,10.08,True,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume",35305.0,2026-08-10,6.04,0.07,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle.,Strengthening,7.1
