symbol,name,ticker,sector,downloaded,download_note,source_index,benchmark_ticker,last_date,last,return_1d_pct,return_5d_pct,return_20d_pct,volume,avg_volume_20,volume_ratio_20d,turnover_proxy,rsi_14,rsi_5d_ago,above_sma_10,above_sma_20,above_sma_50,above_sma_100,above_sma_200,distance_sma_20_pct,distance_sma_50_pct,ma200_roc20_pct,supertrend_bullish,new_high20,within_3pct_ath,at_ath,rs_acceleration_pct,rs_ratio,rs_ratio_sma_50,rs_distance_sma_50_pct,rs_return_20d_pct,rs_above_50dma,trend_raw,breakout_raw,volume_raw,setup_score,setup_quality,primary_setup,setup_tags,setup_pivot_level,setup_breakout_date,setup_volume_ratio,setup_retest_gap_pct,setup_flag_depth_pct,setup_impulse_return_pct,setup_neckline_level,setup_commentary,rotation_signal,rotation_score
USHAMART,Usha Martin Ltd.,USHAMART.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-09-22,531.3,-0.49,10.63,9.04,2758062.0,1287844.0,2.14,1465358340.6,64.98,37.89,True,True,True,True,True,6.06,6.01,1.52,False,False,True,False,19.4,0.02330856,0.0215235,8.29,13.95,True,1.0,0.5,2.14,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume",519.37,2026-09-21,3.31,1.22,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle.,Strengthening with volume,7.9
APARINDS,Apar Industries Ltd.,APARINDS.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-09-22,18233.0,-3.76,10.17,7.25,207076.0,138272.0,1.5,3775616708.0,58.08,45.9,True,True,True,True,True,3.47,11.98,7.49,False,False,False,False,-6.52,0.79989646,0.69278827,15.46,11.66,True,1.0,0.0,1.5,5.0,Actionable watch,Breakout retest,"breakout, retest, pivot, volume",18224.0,2026-09-18,2.21,0.05,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle.,Strengthening with volume,7.9
IKS,Inventurus Knowledge Solutions Ltd.,IKS.NS,Information Technology,True,,NIFTY 500,^CRSLDX,2026-09-22,1869.2,4.85,4.83,4.37,486580.0,173625.0,2.8,909515336.0,62.82,51.49,True,True,True,True,True,5.94,4.08,0.77,False,True,False,False,9.19,0.08200332,0.07724642,6.16,8.03,True,1.0,0.5,2.8,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",1746.68,2026-07-01,11.83,1.41,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.9
GABRIEL,Gabriel India Ltd.,GABRIEL.NS,Automobile and Auto Components,True,,NIFTY 500,^CRSLDX,2026-09-22,1471.4,14.04,13.14,9.32,7891064.0,661718.0,11.93,11610911569.6,61.56,38.29,True,True,True,True,True,8.49,4.7,3.25,False,True,False,False,5.46,0.06455151,0.06013583,7.34,6.92,True,1.0,0.5,11.93,4.3,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",1288.65,2026-07-15,5.47,0.21,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.9
CARBORUNIV,Carborundum Universal Ltd.,CARBORUNIV.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-09-22,1211.3,2.75,17.4,9.45,970152.0,395647.0,2.45,1175145117.6,66.34,36.85,True,True,True,True,True,9.97,10.12,2.56,False,True,True,False,-0.14,0.05314071,0.04720392,12.58,6.89,True,1.0,1.0,2.45,4.3,Actionable watch,Breakout retest,"breakout, retest, pivot, volume",1189.8,2026-09-22,2.71,1.08,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle.,Strengthening with volume,7.9
BELRISE,Belrise Industries Ltd.,BELRISE.NS,Automobile and Auto Components,True,,NIFTY 500,^CRSLDX,2026-09-22,244.74,1.18,7.98,7.37,4815462.0,3104463.0,1.55,1178536169.88,64.44,40.53,True,True,True,True,True,5.41,3.86,3.48,False,True,False,False,10.13,0.01073694,0.01011663,6.13,9.01,True,1.0,0.5,1.55,3.91,Actionable watch,Breakout retest,"breakout, retest, pivot, volume",238.88,2026-09-22,1.63,1.3,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle.,Strengthening with volume,7.87
BLUEJET,Blue Jet Healthcare Ltd.,BLUEJET.NS,Healthcare,True,,NIFTY 500,^CRSLDX,2026-09-22,587.3,1.32,6.66,-0.31,621304.0,414524.0,1.5,364891839.2,55.7,34.55,True,True,True,True,True,2.03,0.44,0.35,False,False,False,False,-0.71,0.02576533,0.02515471,2.43,1.7,True,1.0,0.0,1.5,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",441.55,,,33.01,,,441.55,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Mean reversion bounce,7.73
AEGISVOPAK,Aegis Vopak Terminals Ltd.,AEGISVOPAK.NS,Oil Gas & Consumable Fuels,True,,NIFTY 500,^CRSLDX,2026-09-22,301.4,-5.31,-0.2,12.59,3129116.0,1857460.0,1.68,943115562.4,56.73,65.68,False,True,True,True,True,4.04,5.64,1.41,False,False,False,False,20.67,0.01322266,0.01223026,8.11,12.61,True,1.0,0.0,1.68,3.46,Watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",307.7,2026-09-18,1.52,2.05,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.71
ABDL,Allied Blenders and Distillers Ltd.,ABDL.NS,Fast Moving Consumer Goods,True,,NIFTY 500,^CRSLDX,2026-09-22,647.9,-1.28,2.58,2.28,798258.0,399231.0,2.0,517191358.2,59.79,57.41,True,True,True,True,True,4.08,4.64,-0.19,False,False,False,False,19.07,0.0284239,0.02654802,7.07,12.41,True,0.6666666666666666,0.0,2.0,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",572.0,,,13.27,,,572.0,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.69
MANKIND,Mankind Pharma Ltd.,MANKIND.NS,Healthcare,True,,NIFTY 500,^CRSLDX,2026-09-22,2480.0,1.73,8.75,4.86,667075.0,409184.0,1.63,1654346000.0,63.83,37.63,True,True,True,True,True,6.0,2.52,0.59,False,True,False,False,14.79,0.10879961,0.10415123,4.46,7.39,True,1.0,0.5,1.63,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",2303.55,,,7.66,,,2303.55,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.69
PHOENIXLTD,Phoenix Mills Ltd.,PHOENIXLTD.NS,Realty,True,,NIFTY 500,^CRSLDX,2026-09-22,1953.4,1.26,6.53,1.21,421114.0,422029.0,1.0,822604087.6,58.53,33.7,True,True,True,True,True,2.75,0.68,0.93,False,False,False,False,11.01,0.08569724,0.08369703,2.39,4.48,True,1.0,0.0,1.0,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",1825.65,,,7.0,,,1825.65,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Mean reversion bounce,7.49
AEGISLOG,Aegis Logistics Ltd.,AEGISLOG.NS,Oil Gas & Consumable Fuels,True,,NIFTY 500,^CRSLDX,2026-09-22,1424.5,-4.14,7.63,7.79,2196787.0,1001158.0,2.19,3129323081.5,58.34,52.39,True,True,True,True,True,7.65,7.37,6.67,False,False,False,False,1.4,0.06249397,0.05676916,10.08,3.71,True,1.0,0.0,2.19,3.72,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",1435.67,2026-09-21,2.05,0.78,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.34
TBOTEK,TBO Tek Ltd.,TBOTEK.NS,Consumer Services,True,,NIFTY 500,^CRSLDX,2026-09-22,1703.7,-0.07,2.87,-1.24,596139.0,166517.0,3.58,1015642014.3,55.31,48.44,True,True,True,True,True,0.57,4.95,0.15,False,False,True,False,-11.94,0.0747427,0.06929191,7.87,3.67,True,1.0,0.5,3.58,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal, flag, continuation, uptrend",1458.3,,,16.83,,,1458.3,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume. Secondary patterns: Bullish flag.,Strengthening with volume,7.22
