symbol,name,ticker,sector,downloaded,download_note,source_index,benchmark_ticker,last_date,last,return_1d_pct,return_5d_pct,return_20d_pct,volume,avg_volume_20,volume_ratio_20d,turnover_proxy,rsi_14,rsi_5d_ago,above_sma_10,above_sma_20,above_sma_50,above_sma_100,above_sma_200,distance_sma_20_pct,distance_sma_50_pct,ma200_roc20_pct,supertrend_bullish,new_high20,within_3pct_ath,at_ath,rs_acceleration_pct,rs_ratio,rs_ratio_sma_50,rs_distance_sma_50_pct,rs_return_20d_pct,rs_above_50dma,trend_raw,breakout_raw,volume_raw,setup_score,setup_quality,primary_setup,setup_tags,setup_pivot_level,setup_breakout_date,setup_volume_ratio,setup_retest_gap_pct,setup_flag_depth_pct,setup_impulse_return_pct,setup_neckline_level,setup_commentary,rotation_signal,rotation_score
SAIL,Steel Authority of India Ltd.,SAIL.NS,Metals & Mining,True,,NIFTY 500,^CRSLDX,2026-08-25,184.59,2.75,8.45,11.3,68844110.0,21748512.0,3.17,12707934012.79,66.0,49.22,True,True,True,True,True,6.6,8.43,2.5,False,True,False,False,16.6,0.00764086,0.00730624,4.58,8.79,True,1.0,0.5,3.17,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",176.29,2026-08-24,2.73,2.27,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.9
IIFL,IIFL Finance Ltd.,IIFL.NS,Financial Services,True,,NIFTY 500,^CRSLDX,2026-08-25,666.25,-4.33,7.05,14.41,8284153.0,2565306.0,3.23,5519316936.25,66.0,63.68,True,True,True,True,True,6.02,15.99,2.36,False,False,False,False,3.27,0.02961923,0.02450607,20.86,19.64,True,1.0,0.0,3.23,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",631.35,,,5.53,,,631.35,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.69
IFCI,IFCI Ltd.,IFCI.NS,Financial Services,True,,NIFTY 500,^CRSLDX,2026-08-25,83.25,0.93,2.32,21.5,49372226.0,25583461.0,1.93,4110237814.5,66.96,64.66,True,True,True,True,True,7.54,8.61,3.5,False,True,False,False,24.79,0.00350803,0.0033025,6.22,15.39,True,1.0,0.5,1.93,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",66.15,,,25.85,,,66.15,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.69
LAURUSLABS,Laurus Labs Ltd.,LAURUSLABS.NS,Healthcare,True,,NIFTY 500,^CRSLDX,2026-08-25,1866.2,3.56,3.12,8.92,3550471.0,1942687.0,1.83,6625888806.84,67.73,64.4,True,True,True,True,True,2.46,14.21,7.9,False,True,True,True,-1.8,0.07658211,0.06959944,10.03,9.59,True,1.0,1.0,1.83,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",1124.2,,,66.0,,,1124.2,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.69
GRASIM,Grasim Industries Ltd.,GRASIM.NS,Construction Materials,True,,NIFTY 500,^CRSLDX,2026-08-25,3289.6,-0.56,1.2,6.02,1752002.0,997469.0,1.76,5763385950.29,57.32,55.06,True,True,True,True,True,1.63,3.66,1.37,False,False,True,False,4.92,0.14058469,0.13602127,3.35,4.59,True,1.0,0.5,1.76,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",2913.6,,,12.91,,,2913.6,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.41
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA.NS,Automobile and Auto Components,True,,NIFTY 500,^CRSLDX,2026-08-25,2603.0,-2.22,-0.79,13.22,650637.0,124874.0,5.21,1693608111.0,56.25,64.71,False,True,True,True,True,1.55,4.31,1.69,False,False,True,False,22.06,0.11313073,0.10684333,5.88,11.7,True,1.0,0.5,5.21,2.2,Watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",2684.5,,,3.04,,,2684.5,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.27
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,MAZDOCK.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-08-25,2610.0,2.27,1.75,12.2,1638486.0,995144.0,1.65,4276448460.0,66.79,65.59,True,True,True,True,True,4.99,6.24,-1.16,False,True,False,False,14.95,0.1084559,0.10520151,3.09,8.53,True,0.3333333333333333,0.5,1.65,2.2,Watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",2722.95,,,4.15,,,2722.95,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.27
FINCABLES,Finolex Cables Ltd.,FINCABLES.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-08-25,1259.85,-2.46,-5.23,29.47,343202.0,2025365.0,0.17,432383031.32,62.23,77.33,False,True,True,True,True,9.04,13.63,4.12,False,False,False,False,43.24,0.05493423,0.04729245,16.16,27.37,True,1.0,0.0,0.17,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, flag, continuation, uptrend",1187.17,2026-08-11,36.41,4.85,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Bullish flag.,Strengthening,7.1
CHENNPETRO,Chennai Petroleum Corporation Ltd.,CHENNPETRO.NS,Oil Gas & Consumable Fuels,True,,NIFTY 500,^CRSLDX,2026-08-25,1401.2,-0.77,-0.2,23.87,579966.0,2762041.0,0.21,812648330.88,61.49,64.95,True,True,True,True,True,6.18,17.37,5.62,False,False,True,False,23.53,0.06005933,0.05101266,17.73,24.16,True,1.0,0.5,0.21,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, flag, continuation, uptrend",1352.5,2026-08-11,7.68,2.74,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Bullish flag.,Strengthening,7.1
LTFOODS,LT Foods Ltd.,LTFOODS.NS,Fast Moving Consumer Goods,True,,NIFTY 500,^CRSLDX,2026-08-25,445.8,-2.88,4.57,20.73,2568566.0,3070089.0,0.84,1145066691.45,66.38,65.79,True,True,True,True,True,5.98,12.5,0.23,False,False,False,False,20.65,0.01952215,0.01692315,15.36,20.37,True,1.0,0.0,0.84,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume",436.1,2026-08-24,47.94,0.72,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle.,Strengthening,7.1
