symbol,name,ticker,downloaded,last_date,last,return_1d_pct,return_5d_pct,return_20d_pct,volume_ratio_20d,rsi_14,rsi_5d_ago,above_sma_20,above_sma_50,above_sma_200,distance_sma_20_pct,distance_sma_50_pct,rs_ratio,rs_ratio_sma_50,rs_distance_sma_50_pct,rs_return_20d_pct,rs_above_50dma,rotation_signal,rotation_score
M&M,Mahindra & Mahindra,M&M.NS,True,2026-07-31,3398.5,3.5,7.5,8.34,2.35,67.01,52.99,True,True,True,6.71,9.6,0.13937647,0.1295997,7.54,7.84,True,Strengthening with volume,6.5
SUNPHARMA,Sun Pharma,SUNPHARMA.NS,True,2026-07-31,1990.5,-0.53,2.54,4.77,1.95,66.91,60.02,True,True,True,2.18,6.24,0.08163274,0.07839038,4.14,4.29,True,Strengthening with volume,6.16
BAJFINANCE,Bajaj Finance,BAJFINANCE.NS,True,2026-07-31,1141.2,8.32,12.68,10.65,4.11,74.12,50.86,True,True,True,9.51,16.7,0.04680195,0.04081085,14.68,10.13,True,Strengthening with volume,5.7
EICHERMOT,Eicher Motors,EICHERMOT.NS,True,2026-07-31,7833.5,0.04,3.77,7.85,1.25,66.15,57.91,True,True,True,4.45,6.39,0.32126102,0.30704391,4.63,7.35,True,Strengthening,5.7
ETERNAL,Eternal,ETERNAL.NS,True,2026-07-31,302.45,-2.64,8.02,7.39,0.92,62.36,52.5,True,True,True,3.67,11.96,0.01240383,0.01127132,10.05,6.89,True,Strengthening,5.7
JIOFIN,Jio Financial Services,JIOFIN.NS,True,2026-07-31,256.46,3.85,9.27,7.15,1.91,66.09,46.2,True,True,False,7.11,7.42,0.01051772,0.00998085,5.38,6.65,True,Strengthening with volume,5.7
BAJAJFINSV,Bajaj Finserv,BAJAJFINSV.NS,True,2026-07-31,2029.1,6.27,8.12,7.04,2.81,72.03,56.24,True,True,True,7.22,11.95,0.08321577,0.07575313,9.85,6.55,True,Strengthening with volume,5.7
SBILIFE,SBI Life,SBILIFE.NS,True,2026-07-30,1877.5,-0.92,1.29,5.22,1.61,59.06,57.04,True,True,False,2.05,3.71,0.07720888,0.07588062,1.75,4.61,True,Strengthening with volume,5.42
ULTRACEMCO,UltraTech Cement,ULTRACEMCO.NS,True,2026-07-30,11847.0,0.76,1.52,4.79,1.0,62.67,58.28,True,True,True,2.64,5.12,0.48718702,0.47145369,3.34,4.18,True,Strengthening,5.34
BHARTIARTL,Bharti Airtel,BHARTIARTL.NS,True,2026-07-31,1972.0,0.78,3.89,4.52,1.09,67.19,54.11,True,True,True,3.26,6.11,0.08087403,0.07778177,3.98,4.04,True,Strengthening,5.31
ASIANPAINT,Asian Paints,ASIANPAINT.NS,True,2026-07-30,2746.2,-0.44,2.9,0.06,2.37,59.94,48.58,True,True,True,1.89,2.52,0.11293264,0.11202268,0.81,-0.52,True,Neutral / watch,5.2
NESTLEIND,Nestle India,NESTLEIND.NS,True,2026-07-31,1509.6,-0.73,4.58,3.91,1.04,63.91,52.7,True,True,True,3.5,6.0,0.06191046,0.05957742,3.92,3.43,True,Strengthening,5.19
APOLLOHOSP,Apollo Hospitals,APOLLOHOSP.NS,True,2026-07-30,8988.0,0.59,1.42,3.36,0.98,64.63,58.93,True,True,True,1.28,4.46,0.36961568,0.35972865,2.75,2.76,True,Strengthening,5.05
INDUSINDBK,IndusInd Bank,INDUSINDBK.NS,True,2026-07-30,1011.45,-0.08,0.59,7.2,0.45,54.69,53.97,False,True,True,-0.26,5.75,0.0415941,0.03997624,4.05,6.58,True,Strengthening,5.0
TECHM,Tech Mahindra,TECHM.NS,True,2026-07-31,1651.3,-1.06,5.89,17.11,1.21,71.85,65.16,True,True,True,7.44,12.66,0.06772175,0.06127772,10.52,16.56,True,Strengthening,4.9
BAJAJ-AUTO,Bajaj Auto,BAJAJ-AUTO.NS,True,2026-07-30,11432.0,0.83,1.32,15.98,0.59,73.47,75.46,True,True,True,7.99,10.82,0.47012087,0.43218043,8.78,15.3,True,Strengthening,4.9
TCS,TCS,TCS.NS,True,2026-07-31,2365.6,-2.72,4.94,13.62,0.87,62.71,60.21,True,True,False,6.54,8.2,0.09701603,0.09164907,5.86,13.09,True,Strengthening,4.9
HEROMOTOCO,Hero MotoCorp,HEROMOTOCO.NS,True,2026-07-31,5386.0,1.15,7.48,12.62,1.1,74.46,58.72,True,True,True,8.26,10.01,0.22088617,0.20479103,7.86,12.1,True,Strengthening,4.9
INFY,Infosys,INFY.NS,True,2026-07-31,1130.1,-2.16,8.57,7.92,0.95,57.7,41.82,True,True,False,4.26,2.75,0.04634672,0.04614467,0.44,7.42,True,Strengthening,4.9
ICICIBANK,ICICI Bank,ICICIBANK.NS,True,2026-07-31,1423.4,0.1,0.17,1.7,0.69,59.44,61.57,True,True,True,0.68,5.44,0.0583753,0.05632655,3.64,1.23,True,Strengthening,4.75
CIPLA,Cipla,CIPLA.NS,True,2026-07-31,1473.2,0.46,4.44,1.03,0.88,61.52,46.72,True,True,True,2.49,4.0,0.06041766,0.05920171,2.05,0.56,True,Strengthening,4.61
TITAN,Titan,TITAN.NS,True,2026-07-31,4875.2,0.52,4.24,9.64,1.09,78.91,68.42,True,True,True,4.43,10.69,0.19993767,0.18395957,8.69,9.13,True,Strengthening,4.2
MARUTI,Maruti Suzuki,MARUTI.NS,True,2026-07-30,14188.0,1.72,5.86,-1.12,1.54,60.88,43.59,True,True,False,2.66,4.6,0.58345652,0.56679705,2.94,-1.69,True,Neutral / watch,4.16
HCLTECH,HCL Technologies,HCLTECH.NS,True,2026-07-31,1346.9,-0.43,5.97,19.46,0.8,74.96,68.6,True,True,False,10.06,15.55,0.05523795,0.0488176,13.15,18.91,True,Strengthening,4.1
SHRIRAMFIN,Shriram Finance,SHRIRAMFIN.NS,True,2026-07-31,1046.7,1.9,4.14,-1.59,1.11,54.92,45.77,True,True,True,0.84,4.97,0.04292639,0.04157798,3.24,-2.04,True,Neutral / watch,4.09
JSWSTEEL,JSW Steel,JSWSTEEL.NS,True,2026-07-31,1270.0,-0.06,2.35,3.83,0.86,56.98,48.44,True,True,True,1.88,1.02,0.05208419,0.05263238,-1.04,3.35,False,Neutral / watch,3.97
TATASTEEL,Tata Steel,TATASTEEL.NS,True,2026-07-31,189.69,1.48,3.84,-0.06,1.63,52.49,34.09,True,False,True,1.5,-2.03,0.00777941,0.00811246,-4.11,-0.52,False,Mean reversion bounce,3.9
WIPRO,Wipro,WIPRO.NS,True,2026-07-31,183.65,-1.44,4.87,5.49,1.11,60.76,48.74,True,True,False,4.54,1.48,0.0075317,0.00759696,-0.86,5.0,False,Neutral / watch,3.5
HINDALCO,Hindalco,HINDALCO.NS,True,2026-07-30,970.4,0.83,1.54,2.77,0.93,51.49,43.1,True,False,True,1.38,-3.55,0.03990599,0.04221653,-5.47,2.17,False,Neutral / watch,2.73
