symbol,name,ticker,downloaded,last_date,last,return_1d_pct,return_5d_pct,return_20d_pct,volume_ratio_20d,rsi_14,rsi_5d_ago,above_sma_20,above_sma_50,above_sma_200,distance_sma_20_pct,distance_sma_50_pct,rs_ratio,rs_ratio_sma_50,rs_distance_sma_50_pct,rs_return_20d_pct,rs_above_50dma,rotation_signal,rotation_score
ADANIPORTS,Adani Ports,ADANIPORTS.NS,True,2026-09-21,1787.1,-2.02,1.28,6.88,0.88,58.01,58.64,True,True,True,3.88,3.43,0.07632515,0.07190512,6.15,9.05,True,Strengthening,5.7
ETERNAL,Eternal,ETERNAL.NS,True,2026-09-21,335.9,2.77,3.83,2.67,0.6,67.66,57.51,True,True,True,3.44,7.09,0.01434593,0.0129751,10.57,6.0,True,Strengthening,5.7
APOLLOHOSP,Apollo Hospitals,APOLLOHOSP.NS,True,2026-09-21,8912.0,-0.36,0.86,2.41,0.8,55.21,51.55,True,True,True,1.17,0.86,0.3806221,0.36700819,3.71,5.59,True,Strengthening,5.62
KOTAKBANK,Kotak Mahindra Bank,KOTAKBANK.NS,True,2026-09-21,414.8,0.56,-1.0,3.33,0.64,53.48,59.84,False,True,True,-0.74,3.43,0.01771567,0.0166049,6.69,8.04,True,Strengthening,5.0
HDFCLIFE,HDFC Life,HDFCLIFE.NS,True,2026-09-21,559.4,1.53,5.55,1.17,0.72,58.42,44.13,True,True,False,3.85,2.66,0.02389138,0.02270788,5.21,6.81,True,Strengthening,4.9
HDFCBANK,HDFC Bank,HDFCBANK.NS,True,2026-09-21,739.5,1.16,4.41,1.44,1.11,59.48,43.93,True,True,False,3.72,0.73,0.03158326,0.03066458,3.0,5.55,True,Strengthening,4.81
DRREDDY,Dr Reddy's Labs,DRREDDY.NS,True,2026-09-21,1198.3,1.12,2.81,0.7,1.26,59.07,47.68,True,True,False,2.96,1.96,0.05117813,0.04894509,4.56,5.1,True,Strengthening,4.72
HEROMOTOCO,Hero MotoCorp,HEROMOTOCO.NS,True,2026-09-21,5419.0,2.53,3.78,-4.68,0.62,52.71,38.83,True,True,True,1.05,0.45,0.23143976,0.22355242,3.53,-2.3,True,Neutral / watch,4.04
SBILIFE,SBI Life,SBILIFE.NS,True,2026-09-21,1756.0,1.44,4.23,-0.33,0.76,51.87,34.54,True,False,False,1.69,-2.12,0.0749969,0.07479313,0.27,1.98,True,Mean reversion bounce,4.0
HCLTECH,HCL Technologies,HCLTECH.NS,True,2026-09-21,1281.0,2.54,6.21,-3.1,1.13,51.46,32.83,True,False,False,0.38,-0.88,0.05471016,0.05359055,2.09,0.56,True,Mean reversion bounce,3.71
SUNPHARMA,Sun Pharma,SUNPHARMA.NS,True,2026-09-21,1868.9,1.72,1.57,-2.15,1.61,45.92,33.96,False,False,True,-1.02,-2.72,0.07981874,0.07991984,-0.13,1.58,False,Mean reversion bounce,3.62
ADANIENT,Adani Enterprises,ADANIENT.NS,True,2026-09-21,2975.0,-1.49,-2.78,-0.79,0.35,47.98,54.39,False,False,True,-0.81,-1.82,0.1270591,0.12611442,0.75,2.8,True,Neutral / watch,3.36
COALINDIA,Coal India,COALINDIA.NS,True,2026-09-21,414.7,1.17,-2.74,1.92,0.33,48.04,60.8,False,False,False,-0.12,-0.31,0.0177114,0.01729003,2.44,6.63,True,Neutral / watch,3.2
ONGC,ONGC,ONGC.NS,True,2026-09-21,235.63,1.22,1.35,-0.39,0.53,49.49,41.5,True,False,False,0.56,-1.43,0.01006351,0.00994697,1.17,2.25,True,Neutral / watch,3.15
TECHM,Tech Mahindra,TECHM.NS,True,2026-09-21,1558.5,1.39,1.14,-1.61,0.49,47.14,41.47,False,False,True,-1.08,-2.01,0.06656189,0.06590511,1.0,1.31,True,Neutral / watch,3.06
ITC,ITC,ITC.NS,True,2026-09-21,267.0,1.79,2.75,-1.0,0.64,50.35,36.04,True,False,False,1.2,-2.35,0.01140329,0.01138743,0.14,1.72,True,Neutral / watch,3.04
JSWSTEEL,JSW Steel,JSWSTEEL.NS,True,2026-09-21,1268.6,-0.55,0.28,-4.4,0.63,45.86,40.61,False,False,True,-2.09,-1.07,0.05418056,0.05324014,1.77,1.02,True,Neutral / watch,3.0
CIPLA,Cipla,CIPLA.NS,True,2026-09-21,1386.1,-0.6,1.47,-3.6,0.97,46.31,35.22,False,False,True,-0.3,-2.55,0.05919887,0.05917765,0.04,-0.24,True,Neutral / watch,2.75
TATASTEEL,Tata Steel,TATASTEEL.NS,True,2026-09-21,183.4,-1.15,0.22,-1.56,0.33,45.59,43.78,False,False,False,-1.07,-1.44,0.00783282,0.00773641,1.25,3.44,True,Neutral / watch,2.69
AXISBANK,Axis Bank,AXISBANK.NS,True,2026-09-21,1250.0,-0.56,0.32,1.13,0.79,49.8,47.12,False,False,False,-0.24,-0.07,0.05338618,0.05209004,2.49,3.41,True,Neutral / watch,2.68
BEL,Bharat Electronics,BEL.NS,True,2026-09-21,398.5,1.32,-1.45,-2.57,0.97,46.67,46.4,False,False,False,-1.34,-1.29,0.01701951,0.01679719,1.32,0.74,True,Neutral / watch,2.15
BAJAJ-AUTO,Bajaj Auto,BAJAJ-AUTO.NS,True,2026-09-21,11460.0,0.4,-1.87,-2.88,0.41,43.87,48.91,False,False,True,-2.77,-0.41,0.48944448,0.47578847,2.87,0.57,True,Neutral / watch,2.11
TITAN,Titan,TITAN.NS,True,2026-09-21,4875.0,1.59,-2.68,-4.02,1.23,42.63,51.15,False,False,True,-2.61,-1.22,0.2082061,0.20437426,1.87,-0.45,True,Neutral / watch,1.91
GRASIM,Grasim,GRASIM.NS,True,2026-09-21,3166.0,-1.35,-3.53,-3.71,0.19,39.66,50.53,False,False,True,-3.24,-1.94,0.13521651,0.13400727,0.9,-0.71,True,Neutral / watch,1.86
HINDALCO,Hindalco,HINDALCO.NS,True,2026-09-21,981.2,-0.54,-0.03,-7.3,1.01,42.67,39.08,False,False,True,-2.49,-2.17,0.04190601,0.04163805,0.64,-1.4,True,Neutral / watch,1.72
POWERGRID,Power Grid,POWERGRID.NS,True,2026-09-21,266.1,-1.55,-1.11,-1.95,0.77,46.49,48.82,False,False,False,-0.1,-2.66,0.01136485,0.01138272,-0.16,4.0,False,Neutral / watch,1.6
ULTRACEMCO,UltraTech Cement,ULTRACEMCO.NS,True,2026-09-21,11100.0,0.78,0.91,-3.51,0.58,45.38,34.01,False,False,False,-0.82,-4.09,0.47406927,0.48173443,-1.59,-0.76,False,Mean reversion bounce,1.55
NESTLEIND,Nestle India,NESTLEIND.NS,True,2026-09-21,1385.0,0.92,0.12,-5.87,0.46,40.06,32.91,False,False,True,-1.91,-4.72,0.05915189,0.06045506,-2.16,-1.69,False,Mean reversion bounce,1.36
EICHERMOT,Eicher Motors,EICHERMOT.NS,True,2026-09-21,7512.5,-0.05,-0.23,-6.64,0.58,35.57,33.16,False,False,True,-2.81,-3.67,0.32085093,0.32352106,-0.83,-3.32,False,Mean reversion bounce,1.04
LT,Larsen & Toubro,LT.NS,True,2026-09-21,3904.8,0.51,-0.66,-4.53,0.68,44.43,41.17,False,False,False,-1.32,-1.3,0.16676988,0.16434037,1.48,-0.98,True,Neutral / watch,1.0
HINDUNILVR,Hindustan Unilever,HINDUNILVR.NS,True,2026-09-21,1947.0,0.78,1.04,-4.09,0.68,41.0,32.17,False,False,False,-1.02,-4.69,0.08315431,0.08514985,-2.34,-0.64,False,Mean reversion bounce,0.77
TATACONSUM,Tata Consumer,TATACONSUM.NS,True,2026-09-21,1000.6,0.46,0.97,-5.83,0.59,39.74,29.2,False,False,False,-1.46,-5.34,0.04273457,0.04407619,-3.04,-1.97,False,Mean reversion bounce,0.51
INDUSINDBK,IndusInd Bank,INDUSINDBK.NS,True,2026-09-21,956.0,-1.07,-2.27,-6.13,0.31,38.73,41.41,False,False,True,-3.19,-4.94,0.04082975,0.04183423,-2.4,-1.85,False,Weakening,0.43
