symbol,name,ticker,downloaded,last_date,last,return_1d_pct,return_5d_pct,return_20d_pct,volume_ratio_20d,rsi_14,rsi_5d_ago,above_sma_20,above_sma_50,above_sma_200,distance_sma_20_pct,distance_sma_50_pct,rs_ratio,rs_ratio_sma_50,rs_distance_sma_50_pct,rs_return_20d_pct,rs_above_50dma,rotation_signal,rotation_score
JSWSTEEL,JSW Steel,JSWSTEEL.NS,True,2026-08-20,1299.7,1.08,2.41,2.59,2.16,57.97,49.47,True,True,True,1.59,3.2,0.05363602,0.05238713,2.38,5.75,True,Strengthening with volume,6.45
HEROMOTOCO,Hero MotoCorp,HEROMOTOCO.NS,True,2026-08-20,5740.5,0.54,-2.62,15.71,0.37,66.97,79.51,True,True,True,3.79,12.02,0.23689896,0.21194143,11.78,19.14,True,Strengthening,5.7
BAJAJ-AUTO,Bajaj Auto,BAJAJ-AUTO.NS,True,2026-08-20,11793.0,1.27,1.13,13.36,0.49,67.63,66.33,True,True,True,1.91,10.52,0.48667354,0.44271991,9.93,12.1,True,Strengthening,5.7
HINDALCO,Hindalco,HINDALCO.NS,True,2026-08-20,1029.85,-0.88,-1.57,8.25,0.89,53.81,59.83,True,True,True,1.6,3.84,0.04249985,0.04139692,2.66,9.54,True,Strengthening,5.7
SHRIRAMFIN,Shriram Finance,SHRIRAMFIN.NS,True,2026-08-20,1128.2,2.01,0.98,6.55,0.61,60.59,60.76,True,True,True,3.66,7.68,0.04655856,0.04299715,8.28,9.48,True,Strengthening,5.7
BAJAJFINSV,Bajaj Finserv,BAJAJFINSV.NS,True,2026-08-20,2016.0,0.2,-0.44,6.7,0.3,58.53,60.5,True,True,True,0.51,6.28,0.08319629,0.07791471,6.78,8.33,True,Strengthening,5.7
M&M,Mahindra & Mahindra,M&M.NS,True,2026-08-20,3424.8,0.29,-0.1,6.04,0.52,58.65,60.05,True,True,True,1.19,6.28,0.14133465,0.13270775,6.5,8.22,True,Strengthening,5.7
EICHERMOT,Eicher Motors,EICHERMOT.NS,True,2026-08-20,8042.0,0.64,-0.72,5.24,0.66,63.14,68.66,True,True,True,1.41,5.8,0.33187727,0.3136553,5.81,7.89,True,Strengthening,5.7
GRASIM,Grasim,GRASIM.NS,True,2026-08-20,3300.0,0.92,1.32,4.1,1.36,58.71,55.49,True,True,True,2.59,4.32,0.1361844,0.13121374,3.79,6.9,True,Strengthening,5.7
LT,Larsen & Toubro,LT.NS,True,2026-08-20,4081.0,0.98,0.25,7.61,0.65,58.77,59.88,True,True,True,2.08,1.67,0.16841471,0.1663191,1.26,6.34,True,Strengthening,5.7
