symbol,name,ticker,downloaded,last_date,last,return_1d_pct,return_5d_pct,return_20d_pct,volume_ratio_20d,rsi_14,rsi_5d_ago,above_sma_20,above_sma_50,above_sma_200,distance_sma_20_pct,distance_sma_50_pct,rs_ratio,rs_ratio_sma_50,rs_distance_sma_50_pct,rs_return_20d_pct,rs_above_50dma,rotation_signal,rotation_score
BAJAJ-AUTO,Bajaj Auto,BAJAJ-AUTO.NS,True,2026-08-10,11677.0,0.13,-1.51,12.48,0.42,67.35,78.9,True,True,True,4.88,11.38,0.47498758,0.43710169,8.67,10.78,True,Strengthening,5.7
TITAN,Titan,TITAN.NS,True,2026-08-10,5090.0,3.02,1.8,10.62,3.94,74.97,83.51,True,True,True,6.18,12.84,0.20704691,0.18757333,10.38,8.94,True,Strengthening with volume,5.7
EICHERMOT,Eicher Motors,EICHERMOT.NS,True,2026-08-10,7975.0,-0.56,-0.93,10.44,0.68,64.68,72.07,True,True,True,3.61,7.01,0.32440061,0.30998237,4.65,8.77,True,Strengthening,5.7
TECHM,Tech Mahindra,TECHM.NS,True,2026-08-10,1640.0,0.31,-0.55,9.01,0.88,67.28,71.26,True,True,True,2.74,10.02,0.0667106,0.06217084,7.3,7.35,True,Strengthening,5.7
ETERNAL,Eternal,ETERNAL.NS,True,2026-08-10,310.25,-1.51,-0.08,8.78,0.47,62.1,66.51,True,True,True,3.71,11.82,0.0126201,0.011542,9.34,7.13,True,Strengthening,5.7
SHRIRAMFIN,Shriram Finance,SHRIRAMFIN.NS,True,2026-08-10,1137.8,2.04,4.37,8.56,0.58,66.2,63.07,True,True,True,7.42,11.82,0.04628251,0.04226553,9.5,6.91,True,Strengthening,5.7
GRASIM,Grasim,GRASIM.NS,True,2026-08-10,3380.5,1.73,4.02,7.85,4.13,68.06,64.94,True,True,True,7.33,7.86,0.13750925,0.13055667,5.33,6.21,True,Strengthening with volume,5.7
BAJFINANCE,Bajaj Finance,BAJFINANCE.NS,True,2026-08-10,1102.2,2.24,-4.41,7.78,0.69,57.3,75.37,True,True,True,2.53,9.82,0.0448344,0.04169588,7.53,6.15,True,Strengthening,5.7
NESTLEIND,Nestle India,NESTLEIND.NS,True,2026-08-10,1528.6,-0.74,-0.09,7.12,0.57,63.59,67.18,True,True,True,3.18,6.28,0.06217916,0.05989772,3.81,5.5,True,Strengthening,5.6
ULTRACEMCO,UltraTech Cement,ULTRACEMCO.NS,True,2026-08-10,12038.0,-0.55,-0.13,6.16,0.45,62.56,67.81,True,True,True,2.15,5.87,0.48967204,0.47334013,3.45,4.55,True,Strengthening,5.41
BAJAJFINSV,Bajaj Finserv,BAJAJFINSV.NS,True,2026-08-10,2021.3,0.62,-3.56,5.93,0.6,60.83,76.5,True,True,True,3.86,9.54,0.08222081,0.07682148,7.03,4.33,True,Strengthening,5.37
APOLLOHOSP,Apollo Hospitals,APOLLOHOSP.NS,True,2026-08-10,8912.0,-0.37,1.04,1.47,1.59,53.66,51.44,True,True,True,0.01,2.46,0.36251514,0.36193132,0.16,-0.06,True,Neutral / watch,5.29
JSWSTEEL,JSW Steel,JSWSTEEL.NS,True,2026-08-10,1302.0,0.19,0.75,5.22,0.85,60.05,62.99,True,True,True,2.71,3.4,0.0529617,0.05252504,0.83,3.63,True,Strengthening,5.23
TCS,TCS,TCS.NS,True,2026-08-10,2425.7,-1.1,-1.94,11.8,0.55,60.53,69.36,True,True,False,4.19,9.98,0.09867066,0.0920406,7.2,10.11,True,Strengthening,4.9
M&M,Mahindra & Mahindra,M&M.NS,True,2026-08-10,3517.0,0.43,2.58,11.28,0.94,70.11,68.48,True,True,True,7.29,11.67,0.14306169,0.13097499,9.23,9.6,True,Strengthening,4.9
HINDALCO,Hindalco,HINDALCO.NS,True,2026-08-10,1054.05,-0.52,5.95,9.02,1.37,68.37,59.46,True,True,True,7.74,6.18,0.0428758,0.04154072,3.21,7.37,True,Strengthening,4.9
BHARTIARTL,Bharti Airtel,BHARTIARTL.NS,True,2026-08-10,1943.0,-0.86,-1.4,3.45,0.63,55.67,66.72,True,True,True,0.63,3.61,0.07903579,0.07807401,1.23,1.88,True,Strengthening,4.88
SBIN,State Bank of India,SBIN.NS,True,2026-08-10,1071.0,-2.39,2.49,3.28,1.45,59.74,57.29,True,True,True,3.11,4.21,0.04356527,0.04273237,1.95,1.71,True,Strengthening,4.84
INFY,Infosys,INFY.NS,True,2026-08-10,1183.0,0.67,0.25,7.29,0.67,63.42,64.66,True,True,False,6.01,7.22,0.04812112,0.04609452,4.4,5.66,True,Strengthening,4.83
