symbol,company,ticker,last_date,last_price,open,day_high,day_low,previous_close,change_pct,year_high,year_low,distance_from_52w_high_pct,fresh_52w_high,within_3pct_52w_high,volume,traded_value,source
WELCORP,Welspun Corp Ltd.,WELCORP.NS,2026-09-10,2776.9,,2784.8,2606.5,2608.5,6.46,2784.8,710.0,-0.28,True,True,4260346,,Nifty Indices constituents + Yahoo history
FINCABLES,Finolex Cables Ltd.,FINCABLES.NS,2026-09-10,1418.4,,1429.0,1336.7,1353.4,4.8,1429.0,700.8,-0.74,True,True,2350749,,Nifty Indices constituents + Yahoo history
JINDALSAW,Jindal Saw Ltd.,JINDALSAW.NS,2026-09-10,317.5,,320.0,308.6,311.7,1.86,320.0,153.0,-0.78,True,True,3366094,,Nifty Indices constituents + Yahoo history
CRAFTSMAN,Craftsman Automation Ltd.,CRAFTSMAN.NS,2026-09-10,11851.0,,11999.0,11231.0,11806.0,0.38,11999.0,6324.0,-1.23,True,True,71337,,Nifty Indices constituents + Yahoo history
LENSKART,Lenskart Solutions Ltd.,LENSKART.NS,2026-09-10,693.3,,703.5,690.35,693.9,-0.09,703.5,356.1,-1.45,True,True,6256529,,Nifty Indices constituents + Yahoo history
CHENNPETRO,Chennai Petroleum Corporation Ltd.,CHENNPETRO.NS,2026-09-10,1626.4,,1663.3,1568.9,1604.4,1.37,1663.3,716.8,-2.22,True,True,3754423,,Nifty Indices constituents + Yahoo history
REDINGTON,Redington Ltd.,REDINGTON.NS,2026-09-10,392.0,,403.25,380.3,378.05,3.69,403.25,191.31,-2.79,True,True,23153580,,Nifty Indices constituents + Yahoo history
LAURUSLABS,Laurus Labs Ltd.,LAURUSLABS.NS,2026-09-10,1945.0,,1950.5,1920.9,1937.0,0.41,1955.0,823.1,-0.51,False,True,1067578,,Nifty Indices constituents + Yahoo history
SOLARINDS,Solar Industries India Ltd.,SOLARINDS.NS,2026-09-10,22370.0,,22495.0,22180.0,22355.0,0.07,22625.0,11646.0,-1.13,False,True,58688,,Nifty Indices constituents + Yahoo history
PAYTM,One 97 Communications Ltd.,PAYTM.NS,2026-09-10,1739.0,,1757.0,1720.1,1751.5,-0.71,1758.9,930.6,-1.13,False,True,1478884,,Nifty Indices constituents + Yahoo history
GRANULES,Granules India Ltd.,GRANULES.NS,2026-09-10,899.25,,905.85,870.1,884.8,1.63,910.0,510.55,-1.18,False,True,1594814,,Nifty Indices constituents + Yahoo history
PIRAMALFIN,Piramal Finance Ltd.,PIRAMALFIN.NS,2026-09-10,2295.6,,2316.0,2258.0,2310.5,-0.64,2326.4,1260.0,-1.32,False,True,335744,,Nifty Indices constituents + Yahoo history
IPCALAB,Ipca Laboratories Ltd.,IPCALAB.NS,2026-09-10,1970.9,,1979.9,1953.1,1963.6,0.37,2001.5,1251.6,-1.53,False,True,209275,,Nifty Indices constituents + Yahoo history
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP.NS,2026-09-10,8900.0,,9024.0,8875.0,8967.0,-0.75,9050.0,6696.5,-1.66,False,True,329159,,Nifty Indices constituents + Yahoo history
NEULANDLAB,Neuland Laboratories Ltd.,NEULANDLAB.NS,2026-09-10,23800.0,,24150.0,23235.0,23195.0,2.61,24225.0,11500.0,-1.75,False,True,55257,,Nifty Indices constituents + Yahoo history
ANANDRATHI,Anand Rathi Wealth Ltd.,ANANDRATHI.NS,2026-09-10,2202.5,,2210.9,2155.0,2180.6,1.0,2242.0,1353.85,-1.76,False,True,473408,,Nifty Indices constituents + Yahoo history
DIVISLAB,Divi's Laboratories Ltd.,DIVISLAB.NS,2026-09-10,9438.5,,9604.0,9386.5,9488.0,-0.52,9615.0,5636.5,-1.84,False,True,338162,,Nifty Indices constituents + Yahoo history
IDFCFIRSTB,IDFC First Bank Ltd.,IDFCFIRSTB.NS,2026-09-10,86.84,,87.4,85.82,86.0,0.98,88.76,58.08,-2.16,False,True,14635281,,Nifty Indices constituents + Yahoo history
