symbol,company,ticker,last_date,last_price,open,day_high,day_low,previous_close,change_pct,year_high,year_low,distance_from_52w_high_pct,fresh_52w_high,within_3pct_52w_high,volume,traded_value,source
AUBANK,AU Small Finance Bank Ltd.,AUBANK.NS,2026-08-21,1108.2,,1108.2,1083.9,1088.0,1.86,1108.2,682.15,0.0,True,True,2113499,,Nifty Indices constituents + Yahoo history
LENSKART,Lenskart Solutions Ltd.,LENSKART.NS,2026-08-21,661.4,,663.8,635.0,654.8,1.01,663.8,356.1,-0.36,True,True,9357932,,Nifty Indices constituents + Yahoo history
THELEELA,Leela Palaces Hotels & Resorts Ltd.,THELEELA.NS,2026-08-21,561.7,,564.0,532.45,539.7,4.08,564.0,384.5,-0.41,True,True,1049377,,Nifty Indices constituents + Yahoo history
RRKABEL,R R Kabel Ltd.,RRKABEL.NS,2026-08-21,2919.3,,2931.4,2850.0,2894.2,0.87,2931.4,1165.0,-0.41,True,True,270264,,Nifty Indices constituents + Yahoo history
UNITDSPR,United Spirits Ltd.,UNITDSPR.NS,2026-08-21,1556.0,,1563.4,1527.0,1544.0,0.78,1563.4,1210.8,-0.47,True,True,831703,,Nifty Indices constituents + Yahoo history
PTCIL,PTC Industries Ltd.,PTCIL.NS,2026-08-21,20629.0,,20789.0,19501.0,19623.0,5.13,20789.0,13311.0,-0.77,True,True,48130,,Nifty Indices constituents + Yahoo history
IIFL,IIFL Finance Ltd.,IIFL.NS,2026-08-21,679.8,,687.1,645.1,636.7,6.77,687.1,409.1,-1.06,True,True,11452898,,Nifty Indices constituents + Yahoo history
NETWEB,Netweb Technologies India Ltd.,NETWEB.NS,2026-08-21,5601.0,,5674.8,5360.0,5419.8,3.34,5674.8,2037.3,-1.3,True,True,4267155,,Nifty Indices constituents + Yahoo history
WELCORP,Welspun Corp Ltd.,WELCORP.NS,2026-08-21,2311.9,,2348.9,2133.0,2005.2,15.3,2348.9,710.0,-1.58,True,True,19962897,,Nifty Indices constituents + Yahoo history
SAILIFE,Sai Life Sciences Ltd.,SAILIFE.NS,2026-08-21,1457.4,,1485.0,1448.4,1471.6,-0.96,1485.0,783.85,-1.86,True,True,323792,,Nifty Indices constituents + Yahoo history
JINDALSAW,Jindal Saw Ltd.,JINDALSAW.NS,2026-08-21,291.65,,298.4,271.2,269.75,8.12,298.4,153.0,-2.26,True,True,16800852,,Nifty Indices constituents + Yahoo history
ACMESOLAR,ACME Solar Holdings Ltd.,ACMESOLAR.NS,2026-08-21,401.6,,411.3,392.9,397.4,1.06,411.3,195.9,-2.36,True,True,4539592,,Nifty Indices constituents + Yahoo history
PPLPHARMA,Piramal Pharma Ltd.,PPLPHARMA.NS,2026-08-21,213.67,,220.36,212.92,216.66,-1.38,220.36,132.3,-3.04,True,False,4572376,,Nifty Indices constituents + Yahoo history
DATAPATTNS,Data Patterns (India) Ltd.,DATAPATTNS.NS,2026-08-21,4829.9,,5000.0,4730.1,4700.2,2.76,5000.0,2131.0,-3.4,True,False,2315241,,Nifty Indices constituents + Yahoo history
RBLBANK,RBL Bank Ltd.,RBLBANK.NS,2026-08-21,392.5,,392.75,387.7,392.3,0.05,393.9,243.25,-0.36,False,True,1987002,,Nifty Indices constituents + Yahoo history
DIVISLAB,Divi's Laboratories Ltd.,DIVISLAB.NS,2026-08-21,8597.0,,8610.0,8505.5,8570.0,0.32,8674.0,5636.5,-0.89,False,True,180649,,Nifty Indices constituents + Yahoo history
ACE,Action Construction Equipment Ltd.,ACE.NS,2026-08-21,1182.2,,1189.0,1145.1,1164.4,1.53,1196.0,745.1,-1.15,False,True,422876,,Nifty Indices constituents + Yahoo history
WELSPUNLIV,Welspun Living Ltd.,WELSPUNLIV.NS,2026-08-21,189.22,,190.35,185.68,188.69,0.28,191.47,107.1,-1.18,False,True,4943329,,Nifty Indices constituents + Yahoo history
NAM-INDIA,Nippon Life India Asset Management Ltd.,NAM-INDIA.NS,2026-08-21,1251.0,,1262.3,1226.1,1232.5,1.5,1266.2,780.25,-1.2,False,True,1545220,,Nifty Indices constituents + Yahoo history
BAJAJ-AUTO,Bajaj Auto Ltd.,BAJAJ-AUTO.NS,2026-08-21,11700.0,,11790.0,11660.0,11793.0,-0.79,11863.0,8491.5,-1.37,False,True,221614,,Nifty Indices constituents + Yahoo history
ELGIEQUIP,Elgi Equipments Ltd.,ELGIEQUIP.NS,2026-08-21,634.35,,641.0,622.05,632.45,0.3,644.0,408.25,-1.5,False,True,701799,,Nifty Indices constituents + Yahoo history
PAYTM,One 97 Communications Ltd.,PAYTM.NS,2026-08-21,1632.0,,1638.4,1598.0,1603.6,1.77,1657.6,930.6,-1.54,False,True,5129340,,Nifty Indices constituents + Yahoo history
TITAN,Titan Company Ltd.,TITAN.NS,2026-08-21,5086.1,,5090.4,5011.0,5068.0,0.36,5168.0,3303.1,-1.58,False,True,352373,,Nifty Indices constituents + Yahoo history
ENDURANCE,Endurance Technologies Ltd.,ENDURANCE.NS,2026-08-21,3029.5,,3072.0,2971.0,3001.7,0.93,3079.9,2142.8,-1.64,False,True,271213,,Nifty Indices constituents + Yahoo history
IPCALAB,Ipca Laboratories Ltd.,IPCALAB.NS,2026-08-21,1911.2,,1922.0,1889.1,1900.1,0.58,1945.1,1251.6,-1.74,False,True,193745,,Nifty Indices constituents + Yahoo history
PIRAMALFIN,Piramal Finance Ltd.,PIRAMALFIN.NS,2026-08-21,2180.8,,2218.0,2143.5,2128.1,2.48,2220.0,1260.0,-1.77,False,True,411484,,Nifty Indices constituents + Yahoo history
ANANDRATHI,Anand Rathi Wealth Ltd.,ANANDRATHI.NS,2026-08-21,2188.0,,2198.0,2167.0,2171.1,0.78,2230.0,1353.85,-1.88,False,True,125637,,Nifty Indices constituents + Yahoo history
BOSCHLTD,Bosch Ltd.,BOSCHLTD.NS,2026-08-21,48200.0,,48635.0,48060.0,48750.0,-1.13,49130.0,28610.0,-1.89,False,True,30215,,Nifty Indices constituents + Yahoo history
TVSMOTOR,TVS Motor Company Ltd.,TVSMOTOR.NS,2026-08-21,4390.0,,4390.0,4337.6,4390.0,0.0,4475.0,3228.0,-1.9,False,True,912606,,Nifty Indices constituents + Yahoo history
SHRIRAMFIN,Shriram Finance Ltd.,SHRIRAMFIN.NS,2026-08-21,1130.0,,1140.0,1127.3,1128.2,0.16,1153.7,566.5,-2.05,False,True,2513822,,Nifty Indices constituents + Yahoo history
OFSS,Oracle Financial Services Software Ltd.,OFSS.NS,2026-08-21,11724.0,,11870.0,11650.0,11826.0,-0.86,11979.0,6234.5,-2.13,False,True,110023,,Nifty Indices constituents + Yahoo history
MOTHERSON,Samvardhana Motherson International Ltd.,MOTHERSON.NS,2026-08-21,169.38,,170.41,167.66,169.58,-0.12,173.27,91.1,-2.25,False,True,7596421,,Nifty Indices constituents + Yahoo history
IDFCFIRSTB,IDFC First Bank Ltd.,IDFCFIRSTB.NS,2026-08-21,86.75,,86.75,85.59,85.84,1.06,88.76,58.08,-2.26,False,True,12588998,,Nifty Indices constituents + Yahoo history
RADICO,Radico Khaitan Ltd,RADICO.NS,2026-08-21,4639.8,,4724.0,4615.0,4696.0,-1.2,4747.0,2500.0,-2.26,False,True,174100,,Nifty Indices constituents + Yahoo history
NEULANDLAB,Neuland Laboratories Ltd.,NEULANDLAB.NS,2026-08-21,23301.0,,23669.0,23180.0,23568.0,-1.13,23881.0,11500.0,-2.43,False,True,29207,,Nifty Indices constituents + Yahoo history
SOLARINDS,Solar Industries India Ltd.,SOLARINDS.NS,2026-08-21,19900.0,,20093.0,19651.0,19760.0,0.71,20422.0,11646.0,-2.56,False,True,89546,,Nifty Indices constituents + Yahoo history
PVRINOX,PVR INOX Ltd.,PVRINOX.NS,2026-08-21,1216.8,,1238.7,1207.3,1219.5,-0.22,1249.7,907.4,-2.63,False,True,342781,,Nifty Indices constituents + Yahoo history
EICHERMOT,Eicher Motors Ltd.,EICHERMOT.NS,2026-08-21,8010.0,,8112.5,7980.0,8042.0,-0.4,8230.0,5880.0,-2.67,False,True,316029,,Nifty Indices constituents + Yahoo history
AARTIIND,Aarti Industries Ltd.,AARTIIND.NS,2026-08-21,527.2,,533.7,516.4,520.05,1.37,541.7,338.05,-2.68,False,True,995699,,Nifty Indices constituents + Yahoo history
HFCL,HFCL Ltd.,HFCL.NS,2026-08-21,228.01,,228.8,223.03,223.9,1.84,234.4,59.82,-2.73,False,True,12472826,,Nifty Indices constituents + Yahoo history
FEDERALBNK,Federal Bank Ltd.,FEDERALBNK.NS,2026-08-21,361.0,,361.0,355.15,355.3,1.6,371.7,188.4,-2.88,False,True,4397811,,Nifty Indices constituents + Yahoo history
CRAFTSMAN,Craftsman Automation Ltd.,CRAFTSMAN.NS,2026-08-21,10644.5,,10748.0,10510.0,10690.5,-0.43,10960.0,6324.0,-2.88,False,True,24175,,Nifty Indices constituents + Yahoo history
HAL,Hindustan Aeronautics Ltd.,HAL.NS,2026-08-21,5000.0,,5092.0,4972.0,4998.0,0.04,5149.9,3479.1,-2.91,False,True,733481,,Nifty Indices constituents + Yahoo history
360ONE,360 ONE WAM Ltd.,360ONE.NS,2026-08-21,1199.0,,1214.0,1190.1,1203.0,-0.33,1236.2,906.05,-3.01,False,False,484633,,Nifty Indices constituents + Yahoo history
GRASIM,Grasim Industries Ltd.,GRASIM.NS,2026-08-21,3308.0,,3343.1,3258.0,3300.0,0.24,3411.1,2502.5,-3.02,False,False,1465187,,Nifty Indices constituents + Yahoo history
PNBHOUSING,PNB Housing Finance Ltd.,PNBHOUSING.NS,2026-08-21,1170.3,,1189.0,1166.0,1175.5,-0.44,1207.0,729.6,-3.04,False,False,636285,,Nifty Indices constituents + Yahoo history
JSWSTEEL,JSW Steel Ltd.,JSWSTEEL.NS,2026-08-21,1293.7,,1298.8,1280.5,1299.7,-0.46,1335.0,1022.3,-3.09,False,False,2013052,,Nifty Indices constituents + Yahoo history
SONACOMS,Sona BLW Precision Forgings Ltd.,SONACOMS.NS,2026-08-21,817.6,,822.05,802.2,821.9,-0.52,844.0,402.3,-3.13,False,False,1974670,,Nifty Indices constituents + Yahoo history
PIDILITIND,Pidilite Industries Ltd.,PIDILITIND.NS,2026-08-21,1649.0,,1664.4,1644.1,1660.0,-0.66,1707.5,1259.0,-3.43,False,False,732954,,Nifty Indices constituents + Yahoo history
ANTHEM,Anthem Biosciences Ltd.,ANTHEM.NS,2026-08-21,871.45,,894.9,868.9,874.5,-0.35,904.0,579.15,-3.6,False,False,781207,,Nifty Indices constituents + Yahoo history
AUROPHARMA,Aurobindo Pharma Ltd.,AUROPHARMA.NS,2026-08-21,1621.3,,1624.0,1600.0,1608.0,0.83,1682.4,1016.1,-3.63,False,False,750057,,Nifty Indices constituents + Yahoo history
LAURUSLABS,Laurus Labs Ltd.,LAURUSLABS.NS,2026-08-21,1802.0,,1836.4,1790.3,1825.0,-1.26,1870.8,823.1,-3.68,False,False,1401832,,Nifty Indices constituents + Yahoo history
REDINGTON,Redington Ltd.,REDINGTON.NS,2026-08-21,350.55,,357.75,340.5,348.1,0.7,364.5,191.31,-3.83,False,False,5045121,,Nifty Indices constituents + Yahoo history
TBOTEK,TBO Tek Ltd.,TBOTEK.NS,2026-08-21,1696.5,,1714.0,1684.1,1702.6,-0.36,1764.8,1004.2,-3.87,False,False,157423,,Nifty Indices constituents + Yahoo history
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP.NS,2026-08-21,8693.0,,8746.0,8638.0,8735.0,-0.48,9050.0,6696.5,-3.94,False,False,184089,,Nifty Indices constituents + Yahoo history
NYKAA,FSN E-Commerce Ventures Ltd.,NYKAA.NS,2026-08-21,334.0,,335.15,328.0,330.35,1.1,348.0,223.3,-4.02,False,False,6455005,,Nifty Indices constituents + Yahoo history
ICICIBANK,ICICI Bank Ltd.,ICICIBANK.NS,2026-08-21,1420.0,,1420.0,1411.2,1411.9,0.57,1480.0,1187.6,-4.05,False,False,4565105,,Nifty Indices constituents + Yahoo history
