symbol,company,ticker,last_date,last_price,open,day_high,day_low,previous_close,change_pct,year_high,year_low,distance_from_52w_high_pct,fresh_52w_high,within_3pct_52w_high,volume,traded_value,source
GVT&D,GE Vernova T&D India Ltd.,GVT&D.NS,2026-09-21,4387.2,,4458.3,4368.0,4385.0,0.05,5650.0,2523.2,-22.35,False,False,103004,,Nifty Indices constituents + Yahoo history
JUBLINGREA,Jubilant Ingrevia Ltd.,JUBLINGREA.NS,2026-09-21,616.35,,630.0,614.05,624.9,-1.37,795.0,537.3,-22.47,False,False,66644,,Nifty Indices constituents + Yahoo history
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA.NS,2026-09-21,2359.6,,2394.0,2341.0,2387.0,-1.15,3044.0,2050.33,-22.48,False,False,24422,,Nifty Indices constituents + Yahoo history
JSWCEMENT,JSW Cement Ltd.,JSWCEMENT.NS,2026-09-21,117.19,,119.75,116.56,117.44,-0.21,151.4,106.65,-22.6,False,False,1102391,,Nifty Indices constituents + Yahoo history
ARE&M,Amara Raja Energy & Mobility Ltd.,ARE&M.NS,2026-09-21,792.5,,801.8,792.3,796.0,-0.44,1027.25,670.0,-22.85,False,False,149572,,Nifty Indices constituents + Yahoo history
DEVYANI,Devyani International Ltd.,DEVYANI.NS,2026-09-21,140.75,,143.8,139.06,140.62,0.09,182.8,91.55,-23.0,False,False,1396014,,Nifty Indices constituents + Yahoo history
CENTRALBK,Central Bank of India,CENTRALBK.NS,2026-09-21,31.51,,31.73,31.45,31.73,-0.69,40.92,29.32,-23.0,False,False,2485828,,Nifty Indices constituents + Yahoo history
VBL,Varun Beverages Ltd.,VBL.NS,2026-09-21,427.55,,431.15,422.0,421.95,1.33,555.8,381.0,-23.07,False,False,2374316,,Nifty Indices constituents + Yahoo history
SCI,Shipping Corporation of India Ltd.,SCI.NS,2026-09-21,283.15,,286.9,278.2,277.05,2.2,368.75,195.55,-23.21,False,False,1625452,,Nifty Indices constituents + Yahoo history
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT.NS,2026-09-21,418.35,,420.0,413.25,414.9,0.83,544.95,399.75,-23.23,False,False,197761,,Nifty Indices constituents + Yahoo history
MMTC,MMTC Ltd.,MMTC.NS,2026-09-21,60.13,,60.68,60.0,59.8,0.55,78.35,50.1,-23.25,False,False,288284,,Nifty Indices constituents + Yahoo history
TIINDIA,Tube Investments of India Ltd.,TIINDIA.NS,2026-09-21,2605.0,,2614.2,2584.0,2600.0,0.19,3394.5,2164.9,-23.26,False,False,30188,,Nifty Indices constituents + Yahoo history
IOB,Indian Overseas Bank,IOB.NS,2026-09-21,32.06,,32.29,32.0,32.17,-0.34,41.8,31.2,-23.3,False,False,663206,,Nifty Indices constituents + Yahoo history
CEATLTD,Ceat Ltd.,CEATLTD.NS,2026-09-21,3402.6,,3485.0,3402.0,3468.9,-1.91,4438.0,3061.2,-23.33,False,False,19365,,Nifty Indices constituents + Yahoo history
BERGEPAINT,Berger Paints India Ltd.,BERGEPAINT.NS,2026-09-21,455.8,,463.0,453.65,458.65,-0.62,594.55,391.1,-23.34,False,False,610750,,Nifty Indices constituents + Yahoo history
NIACL,The New India Assurance Company Ltd.,NIACL.NS,2026-09-21,185.96,,187.6,184.47,187.66,-0.91,242.6,116.97,-23.35,False,False,922052,,Nifty Indices constituents + Yahoo history
BLUESTARCO,Blue Star Ltd.,BLUESTARCO.NS,2026-09-21,1558.1,,1580.0,1535.5,1531.8,1.72,2032.9,1432.3,-23.36,False,False,292058,,Nifty Indices constituents + Yahoo history
MPHASIS,MphasiS Ltd.,MPHASIS.NS,2026-09-21,2279.7,,2309.6,2257.1,2300.4,-0.9,2975.0,2013.0,-23.37,False,False,86056,,Nifty Indices constituents + Yahoo history
RELIANCE,Reliance Industries Ltd.,RELIANCE.NS,2026-09-21,1234.3,,1244.4,1232.5,1226.4,0.64,1611.8,1226.4,-23.42,False,False,3405005,,Nifty Indices constituents + Yahoo history
GODREJIND,Godrej Industries Ltd.,GODREJIND.NS,2026-09-21,1105.0,,1115.9,1098.9,1107.4,-0.22,1443.0,744.2,-23.42,False,False,10505,,Nifty Indices constituents + Yahoo history
PARADEEP,Paradeep Phosphates Ltd.,PARADEEP.NS,2026-09-21,154.31,,157.18,154.15,155.62,-0.84,201.99,99.7,-23.61,False,False,651119,,Nifty Indices constituents + Yahoo history
BRIGADE,Brigade Enterprises Ltd.,BRIGADE.NS,2026-09-21,612.6,,630.15,611.0,621.7,-1.46,802.01,450.75,-23.62,False,False,68541,,Nifty Indices constituents + Yahoo history
MRF,MRF Ltd.,MRF.NS,2026-09-21,124830.0,,125780.0,124700.0,125670.0,-0.67,163600.0,122000.0,-23.7,False,False,840,,Nifty Indices constituents + Yahoo history
DOMS,DOMS Industries Ltd.,DOMS.NS,2026-09-21,2100.0,,2115.3,2091.3,2105.3,-0.25,2755.0,2023.9,-23.77,False,False,3772,,Nifty Indices constituents + Yahoo history
ECLERX,eClerx Services Ltd.,ECLERX.NS,2026-09-21,1903.0,,1933.9,1902.5,1915.6,-0.66,2497.5,1320.0,-23.8,False,False,28991,,Nifty Indices constituents + Yahoo history
CEMPRO,Cemindia Projects Ltd.,CEMPRO.NS,2026-09-21,1255.9,,1274.8,1255.1,1263.5,-0.6,1649.2,503.3,-23.85,False,False,37625,,Nifty Indices constituents + Yahoo history
APOLLOTYRE,Apollo Tyres Ltd.,APOLLOTYRE.NS,2026-09-21,411.45,,413.8,409.5,409.3,0.53,540.5,365.3,-23.88,False,False,189294,,Nifty Indices constituents + Yahoo history
