symbol,company,ticker,last_date,last_price,open,day_high,day_low,previous_close,change_pct,year_high,year_low,distance_from_52w_high_pct,fresh_52w_high,within_3pct_52w_high,volume,traded_value,source
IDEA,Vodafone Idea Ltd.,IDEA.NS,2026-09-07,15.6,,15.68,15.06,15.02,3.86,15.68,7.16,-0.51,True,True,694634746,,Nifty Indices constituents + Yahoo history
SYRMA,Syrma SGS Technology Ltd.,SYRMA.NS,2026-09-07,1634.8,,1645.0,1458.3,1457.3,12.18,1645.0,634.5,-0.62,True,True,13076470,,Nifty Indices constituents + Yahoo history
RBLBANK,RBL Bank Ltd.,RBLBANK.NS,2026-09-07,415.0,,418.25,407.85,414.35,0.16,418.25,261.6,-0.78,True,True,3483726,,Nifty Indices constituents + Yahoo history
REDINGTON,Redington Ltd.,REDINGTON.NS,2026-09-07,378.2,,381.6,370.0,371.3,1.86,381.6,191.31,-0.89,True,True,5164669,,Nifty Indices constituents + Yahoo history
PPLPHARMA,Piramal Pharma Ltd.,PPLPHARMA.NS,2026-09-07,219.66,,221.8,213.12,214.22,2.54,221.8,132.3,-0.96,True,True,6405196,,Nifty Indices constituents + Yahoo history
SOLARINDS,Solar Industries India Ltd.,SOLARINDS.NS,2026-09-07,21950.0,,22200.0,21450.0,21445.0,2.35,22200.0,11646.0,-1.13,True,True,227168,,Nifty Indices constituents + Yahoo history
LENSKART,Lenskart Solutions Ltd.,LENSKART.NS,2026-09-07,688.0,,697.25,684.5,684.9,0.45,697.25,356.1,-1.33,True,True,3142143,,Nifty Indices constituents + Yahoo history
ANANDRATHI,Anand Rathi Wealth Ltd.,ANANDRATHI.NS,2026-09-07,2224.0,,2255.0,2210.8,2215.9,0.37,2255.0,1353.85,-1.37,True,True,270160,,Nifty Indices constituents + Yahoo history
ELGIEQUIP,Elgi Equipments Ltd.,ELGIEQUIP.NS,2026-09-07,642.4,,653.4,637.3,642.1,0.05,653.4,408.25,-1.68,True,True,807924,,Nifty Indices constituents + Yahoo history
WELSPUNLIV,Welspun Living Ltd.,WELSPUNLIV.NS,2026-09-07,211.95,,216.0,209.02,208.51,1.65,216.0,107.1,-1.88,True,True,6123550,,Nifty Indices constituents + Yahoo history
GLAND,Gland Pharma Ltd.,GLAND.NS,2026-09-07,2974.3,,3042.0,2916.9,2932.4,1.43,3042.0,1573.6,-2.23,True,True,1031210,,Nifty Indices constituents + Yahoo history
CGCL,Capri Global Capital Ltd.,CGCL.NS,2026-09-07,275.7,,287.45,273.1,279.9,-1.5,287.45,151.1,-4.09,True,False,6271535,,Nifty Indices constituents + Yahoo history
CUB,City Union Bank Ltd.,CUB.NS,2026-09-07,238.48,,248.85,234.2,236.01,1.05,248.85,147.04,-4.17,True,False,6585662,,Nifty Indices constituents + Yahoo history
NIACL,The New India Assurance Company Ltd.,NIACL.NS,2026-09-07,231.2,,242.6,224.31,229.91,0.56,242.6,116.97,-4.7,True,False,23438467,,Nifty Indices constituents + Yahoo history
