symbol,company,ticker,last_date,last_price,open,day_high,day_low,previous_close,change_pct,year_high,year_low,distance_from_52w_high_pct,fresh_52w_high,within_3pct_52w_high,volume,traded_value,source
IPCALAB,Ipca Laboratories Ltd.,IPCALAB.NS,2026-09-17,1994.8,,2014.0,1937.9,1932.4,3.23,2014.0,1251.6,-0.95,True,True,140270,,Nifty Indices constituents + Yahoo history
AEGISVOPAK,Aegis Vopak Terminals Ltd.,AEGISVOPAK.NS,2026-09-17,312.0,,316.0,292.5,296.95,5.07,316.0,158.0,-1.27,True,True,3387954,,Nifty Indices constituents + Yahoo history
REDINGTON,Redington Ltd.,REDINGTON.NS,2026-09-17,398.6,,403.2,385.0,388.15,2.69,403.25,191.31,-1.15,False,True,3662629,,Nifty Indices constituents + Yahoo history
ANANDRATHI,Anand Rathi Wealth Ltd.,ANANDRATHI.NS,2026-09-17,2207.4,,2220.0,2198.2,2183.9,1.08,2242.0,1353.85,-1.54,False,True,24290,,Nifty Indices constituents + Yahoo history
PVRINOX,PVR INOX Ltd.,PVRINOX.NS,2026-09-17,1261.1,,1264.0,1231.2,1254.6,0.52,1284.5,907.4,-1.82,False,True,91241,,Nifty Indices constituents + Yahoo history
SHYAMMETL,Shyam Metalics and Energy Ltd.,SHYAMMETL.NS,2026-09-17,1088.0,,1089.9,1045.4,1050.5,3.57,1111.0,746.0,-2.07,False,True,84953,,Nifty Indices constituents + Yahoo history
SYRMA,Syrma SGS Technology Ltd.,SYRMA.NS,2026-09-17,1621.0,,1658.0,1513.5,1511.2,7.27,1660.0,634.5,-2.35,False,True,4764210,,Nifty Indices constituents + Yahoo history
WELSPUNLIV,Welspun Living Ltd.,WELSPUNLIV.NS,2026-09-17,210.87,,212.0,201.0,201.63,4.58,216.0,107.1,-2.38,False,True,1879713,,Nifty Indices constituents + Yahoo history
LENSKART,Lenskart Solutions Ltd.,LENSKART.NS,2026-09-17,686.65,,687.0,672.15,685.4,0.18,703.5,356.1,-2.4,False,True,1187476,,Nifty Indices constituents + Yahoo history
RBLBANK,RBL Bank Ltd.,RBLBANK.NS,2026-09-17,409.4,,411.65,402.0,403.6,1.44,420.4,261.6,-2.62,False,True,710845,,Nifty Indices constituents + Yahoo history
LAURUSLABS,Laurus Labs Ltd.,LAURUSLABS.NS,2026-09-17,1929.0,,1936.8,1894.8,1905.5,1.23,1981.8,823.1,-2.66,False,True,367447,,Nifty Indices constituents + Yahoo history
AUROPHARMA,Aurobindo Pharma Ltd.,AUROPHARMA.NS,2026-09-17,1668.4,,1677.0,1634.0,1643.0,1.55,1717.0,1066.8,-2.83,False,True,186763,,Nifty Indices constituents + Yahoo history
ACE,Action Construction Equipment Ltd.,ACE.NS,2026-09-17,1161.0,,1174.9,1141.0,1149.7,0.98,1196.0,745.1,-2.93,False,True,120215,,Nifty Indices constituents + Yahoo history
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP.NS,2026-09-17,8768.0,,8797.5,8686.5,8714.0,0.62,9050.0,6696.5,-3.12,False,False,22821,,Nifty Indices constituents + Yahoo history
DIVISLAB,Divi's Laboratories Ltd.,DIVISLAB.NS,2026-09-17,9285.5,,9309.0,9135.5,9158.0,1.39,9615.0,5636.5,-3.43,False,False,111056,,Nifty Indices constituents + Yahoo history
BOSCHLTD,Bosch Ltd.,BOSCHLTD.NS,2026-09-17,47885.0,,48160.0,47595.0,47070.0,1.73,50000.0,28610.0,-4.23,False,False,4405,,Nifty Indices constituents + Yahoo history
IDFCFIRSTB,IDFC First Bank Ltd.,IDFCFIRSTB.NS,2026-09-17,84.82,,85.55,84.53,85.01,-0.22,88.76,58.08,-4.44,False,False,3562843,,Nifty Indices constituents + Yahoo history
