symbol,company,ticker,last_date,last_price,open,day_high,day_low,previous_close,change_pct,year_high,year_low,distance_from_52w_high_pct,fresh_52w_high,within_3pct_52w_high,volume,traded_value,source
AUBANK,AU Small Finance Bank Ltd.,AUBANK.NS,2026-08-24,1114.0,,1114.2,1100.7,1108.2,0.52,1114.2,682.15,-0.02,True,True,1606431,,Nifty Indices constituents + Yahoo history
SIEMENS,Siemens Ltd.,SIEMENS.NS,2026-08-24,4114.0,,4118.2,3903.3,3920.0,4.95,4118.2,2826.0,-0.1,True,True,1317139,,Nifty Indices constituents + Yahoo history
HFCL,HFCL Ltd.,HFCL.NS,2026-08-24,238.42,,239.41,228.13,228.01,4.57,239.41,59.82,-0.41,True,True,29905200,,Nifty Indices constituents + Yahoo history
AARTIIND,Aarti Industries Ltd.,AARTIIND.NS,2026-08-24,543.15,,546.0,525.4,527.2,3.03,546.0,338.05,-0.52,True,True,2015871,,Nifty Indices constituents + Yahoo history
WELCORP,Welspun Corp Ltd.,WELCORP.NS,2026-08-24,2409.2,,2422.0,2266.7,2311.9,4.21,2422.0,710.0,-0.53,True,True,6106072,,Nifty Indices constituents + Yahoo history
ACMESOLAR,ACME Solar Holdings Ltd.,ACMESOLAR.NS,2026-08-24,409.15,,411.5,394.7,401.6,1.88,411.5,195.9,-0.57,True,True,2257509,,Nifty Indices constituents + Yahoo history
PTCIL,PTC Industries Ltd.,PTCIL.NS,2026-08-24,21672.0,,21800.0,20500.0,20629.0,5.06,21800.0,13400.0,-0.59,True,True,77832,,Nifty Indices constituents + Yahoo history
IIFL,IIFL Finance Ltd.,IIFL.NS,2026-08-24,696.4,,705.0,681.5,679.8,2.44,705.0,409.1,-1.22,True,True,3799566,,Nifty Indices constituents + Yahoo history
REDINGTON,Redington Ltd.,REDINGTON.NS,2026-08-24,365.1,,370.8,352.25,350.55,4.15,370.8,191.31,-1.54,True,True,9721166,,Nifty Indices constituents + Yahoo history
RBLBANK,RBL Bank Ltd.,RBLBANK.NS,2026-08-24,388.0,,394.5,386.25,392.5,-1.15,394.5,243.25,-1.65,True,True,2638002,,Nifty Indices constituents + Yahoo history
