Symbol,YahooTicker,Description,Sector,Analyst Rating,Screen Price,Screen Relative Volume,last_date,last_close,rsi_14,atr_14,return_1m_pct,return_3m_pct,return_6m_pct,distance_from_52w_high_pct,above_sma_20,distance_sma_20_pct,above_sma_50,distance_sma_50_pct,above_sma_100,distance_sma_100_pct,above_sma_200,distance_sma_200_pct,relative_strength_benchmark,relative_strength_ratio,relative_strength_ratio_sma_50,relative_strength_ratio_distance_sma_50_pct,relative_strength_above_50dma,relative_strength_3m_pct,relative_strength_leader,pnf_signal,pnf_price_source,pnf_box_method,box_size,pnf_reversal_boxes,setup_label,setup_reasons,rank_score,chart_pattern_view
DIVISLAB,DIVISLAB.NS,Divi's Laboratories Limited,Health technology,Neutral,7248.5,0.7040512031012258,2026-07-30,7919.0,81.91,169.74,21.482783840639176,20.124713152194996,31.3021074822335,0.0,True,10.41,True,15.46,True,20.32,True,22.29,^NSEMDCP50,0.439942,0.38822,13.32,True,13.349722035970245,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,158.38,3,"Watch, wait for price trigger",above 50 DMA; above 200 DMA; RS ratio above 50 DMA (13.3%); RSI stretched; P&F breakout,5.8,Breakout confirmed but stretched; wait for consolidation or retest
PGINVIT,PGINVIT.NS,Powergrid Infrastructure Invesment Trust,Utilities,No rating,100.26,0.9474548807201446,2026-07-29,101.67,97.59,0.78,8.401745576818097,12.6841347035618,18.346790164725245,0.0,True,4.05,True,6.99,True,10.27,True,13.31,^NSEMDCP50,0.005621,0.005384,4.41,True,5.175892252831926,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,2.03,3,"Watch, wait for price trigger",above 50 DMA; above 200 DMA; RS ratio above 50 DMA (4.4%); RSI stretched; P&F breakout,5.8,Breakout confirmed but stretched; wait for consolidation or retest
TORNTPHARM,TORNTPHARM.NS,Torrent Pharmaceuticals Ltd,Health technology,Buy,4961.5,0.2237117625190624,2026-07-30,4879.0,52.6,128.31,5.1327401598298295,14.9794440220123,24.33922104069879,-3.68,False,-1.02,True,4.61,True,9.49,True,17.45,^NSEMDCP50,0.271054,0.263977,2.68,True,8.49464425553428,True,"Rising P&F column, no fresh breakout yet","Adj Close if available, else Close",2.0% of latest close,97.58,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (2.7%); RSI in constructive zone,5.75,Relative-strength leader; look for clean price trigger
DIACABS,DIACABS.NS,Diamond Power Infrastructure Limited,Producer manufacturing,Strong buy,295.15,1.8061033805624125,2026-07-30,320.58,76.24,17.34,53.58596901938684,93.09720414544212,153.64347505370878,-5.0,True,25.55,True,43.73,True,71.42,True,96.4,^NSEMDCP50,0.01781,0.01261,41.23,True,82.20659047966204,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,6.41,3,"Watch, wait for price trigger",above 50 DMA; above 200 DMA; RS ratio above 50 DMA (41.2%); RSI stretched; P&F breakout,5.5,Breakout confirmed but stretched; wait for consolidation or retest
KABRAEXTRU,KABRAEXTRU.NS,Kabra ExtrusionTechnik Ltd.,Producer manufacturing,No rating,376.8,1.4221705686463395,2026-07-30,373.2,66.23,19.42,40.830193285672166,51.85547711128815,85.67164786419465,-7.81,True,11.45,True,34.41,True,47.47,True,53.86,^NSEMDCP50,0.020733,0.015688,32.16,True,43.29088218838031,True,"Falling P&F column, wait for reversal","Adj Close if available, else Close",2.0% of latest close,7.46,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (32.2%); RSI in constructive zone,5.5,Relative-strength leader; look for clean price trigger
OMNI,OMNI.NS,Omnitech Engineering Limited,Producer manufacturing,No rating,612.0,1.7398891809579728,2026-07-30,584.45,59.36,27.8,2.5980842901203838,53.01740896142122,,-5.68,True,4.66,True,13.15,True,37.9,,,^NSEMDCP50,0.032469,0.029229,11.09,True,44.387281495244494,True,"Falling P&F column, wait for reversal","Adj Close if available, else Close",2.0% of latest close,11.69,3,"Watch, wait for price trigger",above 50 DMA; RS ratio above 50 DMA (11.1%); RSI in constructive zone,5.0,Needs manual chart review
HUHTAMAKI,HUHTAMAKI.NS,Huhtamaki India Limited,Process industries,Strong buy,318.68,1.315017851358968,2026-07-30,298.38,74.94,17.27,42.49284316135886,66.51598907164504,59.443107052222665,-6.37,True,18.77,True,43.51,True,57.38,True,50.06,^NSEMDCP50,0.016577,0.011746,41.12,True,57.124546486134406,True,"Falling P&F column, wait for reversal","Adj Close if available, else Close",2.0% of latest close,5.97,3,"Watch, wait for price trigger",above 50 DMA; above 200 DMA; RS ratio above 50 DMA (41.1%),4.9,Relative-strength leader; look for clean price trigger
MPSLTD,MPSLTD.NS,MPS Limited,Consumer services,No rating,2769.7,1.640586105867556,2026-07-30,2680.8,76.16,115.66,41.35513044176773,64.36542298149142,48.18418467779031,-3.21,True,19.4,True,34.61,True,47.8,True,41.68,^NSEMDCP50,0.148933,0.112645,32.21,True,55.09527155891731,True,"Falling P&F column, wait for reversal","Adj Close if available, else Close",2.0% of latest close,53.62,3,"Watch, wait for price trigger",above 50 DMA; above 200 DMA; RS ratio above 50 DMA (32.2%); RSI stretched,4.5,Relative-strength leader; look for clean price trigger
GOODYEAR,GOODYEAR.NS,Goodyear India Limited,Consumer durables,No rating,822.85,0.6037862985025412,2026-07-30,829.35,68.82,18.71,9.731408968098032,5.7776912822209425,,-34.89,True,2.81,True,7.7,,,,,^NSEMDCP50,0.046075,0.043583,5.72,True,-0.18813290104967573,False,"Rising P&F column, no fresh breakout yet","Adj Close if available, else Close",2.0% of latest close,16.59,3,"Watch, wait for price trigger",above 50 DMA; RS ratio above 50 DMA (5.7%); RSI in constructive zone,4.25,Needs manual chart review
INDIGRID,INDIGRID.NS,IndiGrid Infrastructure Trust,Finance,No rating,179.27,1.346968901647878,2026-07-29,178.32,55.68,1.72,0.854029628683528,6.136412369875632,13.889729168388376,-0.71,False,-0.16,True,1.9,True,4.67,True,8.12,^NSEMDCP50,0.009859,0.009914,-0.56,False,-0.9355496150130982,False,"Rising P&F column, no fresh breakout yet","Adj Close if available, else Close",2.0% of latest close,3.57,3,"Watch, wait for price trigger",above 50 DMA; above 200 DMA; RSI in constructive zone,3.75,Near highs with trend support; needs breakout trigger
ELPROINTL,ELPROINTL.NS,Elpro International Ltd,Electronic technology,No rating,176.52,2.426254216608053,2026-07-30,176.85,72.52,2.65,2.533633165714888,47.117550495314056,,-0.58,True,1.11,True,3.13,,,,,^NSEMDCP50,0.009825,0.009709,1.2,True,38.82017294916602,True,Insufficient P&F structure,"Adj Close if available, else Close",2.0% of latest close,3.54,3,"Watch, wait for price trigger",above 50 DMA; RS ratio above 50 DMA (1.2%),3.65,Near highs with trend support; needs breakout trigger
KISSHT,KISSHT.NS,Onemi Technology Solutions Limited,Finance,Strong buy,340.15,0.745192665760721,2026-07-30,324.5,54.54,16.33,16.183320509321252,,,-6.2,False,-0.39,True,10.37,,,,,^NSEMDCP50,0.018028,0.01663,8.41,True,,False,"Falling P&F column, wait for reversal","Adj Close if available, else Close",2.0% of latest close,6.49,3,"Watch, wait for price trigger",above 50 DMA; RS ratio above 50 DMA (8.4%); RSI in constructive zone,3.5,Needs manual chart review
LASERPOWER,LASERPOWER.NS,Laser Power & Infra Limited,Producer manufacturing,No rating,307.52,,2026-07-30,297.82,86.01,21.49,,,,-3.15,,,,,,,,,,,,,,,,"Rising P&F column, no fresh breakout yet","Adj Close if available, else Close",2.0% of latest close,5.96,3,Low priority / avoid until structure improves,RSI stretched,-0.7,Near highs but short trend weak; wait
