Symbol,YahooTicker,Description,Sector,Analyst Rating,Screen Price,Screen Relative Volume,last_date,last_close,rsi_14,atr_14,return_1m_pct,return_3m_pct,return_6m_pct,distance_from_52w_high_pct,above_sma_20,distance_sma_20_pct,above_sma_50,distance_sma_50_pct,above_sma_100,distance_sma_100_pct,above_sma_200,distance_sma_200_pct,relative_strength_benchmark,relative_strength_ratio,relative_strength_ratio_sma_50,relative_strength_ratio_distance_sma_50_pct,relative_strength_above_50dma,relative_strength_3m_pct,relative_strength_leader,pnf_signal,pnf_price_source,pnf_box_method,box_size,pnf_reversal_boxes,setup_label,setup_reasons,rank_score,chart_pattern_view
KARURVYSYA,KARURVYSYA.NS,Karur Vysya Bank Ltd.,Finance,Strong buy,338.9,0.2910107893473242,2026-07-30,342.05,69.78,10.58,14.865134365521037,15.90796065561564,17.328215188203842,0.0,True,8.52,True,14.42,True,17.04,True,22.16,^NSEMDCP50,0.019003,0.016918,12.32,True,9.370792881099499,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,6.84,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (12.3%); RSI in constructive zone; P&F breakout,7.5,Breakout candidate and RS leader; watch for retest/continuation
UJJIVANSFB,UJJIVANSFB.NS,Ujjivan Small Finance Bank Ltd.,Finance,Strong buy,70.72,2.188598215603997,2026-07-30,70.46,69.41,2.67,14.924151861408586,14.811797801523486,11.699424602401876,-1.55,True,7.18,True,18.08,True,21.58,True,23.49,^NSEMDCP50,0.003914,0.003375,15.98,True,8.336453222281094,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,1.41,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (16.0%); RSI in constructive zone; P&F breakout,7.5,Breakout candidate and RS leader; watch for retest/continuation
LLOYDSME,LLOYDSME.NS,Lloyds Metals & Energy Ltd.,Non-energy minerals,Buy,1940.5,0.9671302204899852,2026-07-30,2003.0,63.61,65.81,10.914224094431146,11.499141259791411,75.49887290211981,-2.35,True,7.05,True,10.52,True,20.32,True,37.19,^NSEMDCP50,0.111277,0.102586,8.47,True,5.210629331819572,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,40.06,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (8.5%); RSI in constructive zone; P&F breakout,7.5,Breakout candidate and RS leader; watch for retest/continuation
MMFL,MMFL.NS,MM Forgings Limited,Producer manufacturing,Strong buy,551.85,0.496333084327699,2026-07-30,537.45,60.25,18.88,16.305995478960543,10.048564395283366,30.522093205005696,-3.94,True,1.69,True,10.99,True,15.26,True,28.25,^NSEMDCP50,0.029858,0.027394,8.99,True,3.8418644867749263,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,10.75,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (9.0%); RSI in constructive zone; P&F breakout,7.5,Breakout candidate and RS leader; watch for retest/continuation
APOLLOHOSP,APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,Health services,Strong buy,8805.5,0.678095311721555,2026-07-30,8995.0,64.96,124.34,4.368509601438775,16.25201938610663,30.96244289157637,0.0,True,1.35,True,4.54,True,10.5,True,16.02,^NSEMDCP50,0.499719,0.487103,2.59,True,9.695446821507181,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,179.9,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (2.6%); RSI in constructive zone; P&F breakout,7.0,Breakout candidate and RS leader; watch for retest/continuation
HNDFDS,HNDFDS.NS,Hindustan Foods Ltd.,Consumer non-durables,Strong buy,577.2,0.7762112816654851,2026-07-30,570.8,55.95,16.01,1.774095148463939,13.343919951351246,25.12055513359568,-1.27,True,1.59,True,3.84,True,8.63,True,10.06,^NSEMDCP50,0.031711,0.031118,1.91,True,6.951363161013058,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,11.42,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (1.9%); RSI in constructive zone; P&F breakout,7.0,Breakout candidate and RS leader; watch for retest/continuation
MARICO,MARICO.NS,Marico Limited,Consumer non-durables,Strong buy,855.6,1.3316948280533485,2026-07-30,885.15,68.69,17.47,4.488579190585362,13.338579426774277,20.708317366292196,0.0,True,4.06,True,6.53,True,10.27,True,14.66,^NSEMDCP50,0.049175,0.047039,4.54,True,6.946323840123614,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,17.7,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (4.5%); RSI in constructive zone; P&F breakout,7.0,Breakout candidate and RS leader; watch for retest/continuation
SHREEJISPG,SHREEJISPG.NS,Shreeji Shipping Global Limited,Transportation,No rating,625.8,0.4571586185375261,2026-07-30,637.6,74.58,17.13,27.724350960453936,49.74166131163666,105.72840774346118,0.0,True,9.23,True,22.94,True,41.76,True,63.08,^NSEMDCP50,0.035422,0.029327,20.78,True,41.29628484834613,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,12.75,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (20.8%); P&F breakout,6.9,Breakout candidate and RS leader; watch for retest/continuation
KRISHANA,KRISHANA.NS,Krishana Phoschem Ltd.,Process industries,No rating,162.05,2.3842325118791643,2026-07-30,174.9,73.91,8.48,25.349383950855177,43.2077957742238,79.81157212133334,0.0,True,18.57,True,24.05,True,35.36,True,51.21,^NSEMDCP50,0.009717,0.00798,21.76,True,35.1309270043876,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,3.5,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (21.8%); P&F breakout,6.9,Breakout candidate and RS leader; watch for retest/continuation
KAPSTON,KAPSTON.NS,Kapston Services Limited,Commercial services,No rating,460.7,0.3824820466519753,2026-07-30,460.65,74.16,16.0,22.52958609901836,35.58498716599983,11.672725793087114,-0.82,True,8.95,True,21.92,True,34.23,True,37.81,^NSEMDCP50,0.025592,0.021367,19.77,True,27.93804209168136,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,9.21,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (19.8%); P&F breakout,6.9,Breakout candidate and RS leader; watch for retest/continuation
LALPATHLAB,LALPATHLAB.NS,Dr. Lal PathLabs Limited,Health services,Buy,1759.2,6.4529792267993615,2026-07-30,1892.7,74.18,61.73,16.92073647781911,20.905324841185525,36.18029377356038,0.0,True,9.67,True,14.25,True,22.49,True,25.9,^NSEMDCP50,0.105149,0.093761,12.15,True,14.086307503217089,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,37.85,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (12.2%); P&F breakout,6.9,Breakout candidate and RS leader; watch for retest/continuation
MANAPPURAM,MANAPPURAM.NS,Manappuram Finance Limited,Finance,Neutral,352.95,0.8617213594802036,2026-07-30,368.35,70.91,10.43,16.32717928424543,20.902425983143512,26.69201817045539,-0.49,True,7.3,True,12.6,True,21.41,True,24.27,^NSEMDCP50,0.020464,0.018513,10.54,True,14.083572139738099,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,7.37,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (10.5%); P&F breakout,6.9,Breakout candidate and RS leader; watch for retest/continuation
BAJAJ_AUTO,BAJAJ-AUTO.NS,Bajaj Auto Limited,Consumer durables,Buy,11130.0,0.6234672779024646,2026-07-30,11445.0,73.65,240.01,16.287339971550495,14.54864159390381,23.030358254869586,0.0,True,8.11,True,10.94,True,15.45,True,19.95,^NSEMDCP50,0.63583,0.584114,8.85,True,8.088138931216449,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,228.9,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (8.8%); P&F breakout,6.9,Breakout candidate and RS leader; watch for retest/continuation
SUNPHARMA,SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,Health technology,Strong buy,1941.1,0.835715060749531,2026-07-30,2014.2,72.76,30.93,8.213419930340793,10.747399970897508,26.2012283955414,0.0,True,3.6,True,7.66,True,10.7,True,14.05,^NSEMDCP50,0.111899,0.105895,5.67,True,4.501285984367587,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,40.28,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (5.7%); P&F breakout,6.9,Breakout candidate and RS leader; watch for retest/continuation
E2E,E2E.NS,E2E Networks Ltd,Technology services,Strong buy,516.7,4.790067414789606,2026-07-30,485.65,60.35,26.2,20.598455221006517,71.52897450677997,133.89038495667407,-10.48,True,11.46,True,16.66,True,41.54,True,64.88,^NSEMDCP50,0.02698,0.023566,14.49,True,61.854801324895135,True,"Falling P&F column, wait for reversal","Adj Close if available, else Close",2.0% of latest close,9.71,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (14.5%); RSI in constructive zone,6.5,Relative-strength leader; look for clean price trigger
RUBICON,RUBICON.NS,Rubicon Research Limited,Health technology,Strong buy,1520.2,0.5733336328937285,2026-07-30,1512.4,60.33,65.79,10.53940055462499,54.87174679425579,131.09481185793362,-2.8,True,3.64,True,13.45,True,37.41,,,^NSEMDCP50,0.084022,0.075418,11.41,True,46.13703533354321,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,30.25,3,Strong watchlist candidate,above 50 DMA; RS ratio above 50 DMA (11.4%); RSI in constructive zone; P&F breakout,6.5,Near highs with trend support; needs breakout trigger
RADICO,RADICO.NS,Radico Khaitan Limited,Consumer non-durables,Strong buy,4091.3,1.2112061705050254,2026-07-30,4393.9,77.03,113.41,11.411446620553868,29.931812094491317,60.319241474133456,0.0,True,6.75,True,15.07,True,27.72,True,35.7,^NSEMDCP50,0.244104,0.216037,12.99,True,22.60370408444463,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,87.88,3,"Watch, wait for price trigger",above 50 DMA; above 200 DMA; RS ratio above 50 DMA (13.0%); RSI stretched; P&F breakout,6.5,Breakout confirmed but stretched; wait for consolidation or retest
EXIDEIND,EXIDEIND.NS,Exide Industries Limited,Producer manufacturing,Neutral,443.0,1.6740275545147942,2026-07-30,445.9,64.89,14.59,14.778226368687797,24.783961176636772,39.51013696411832,-0.44,True,3.95,True,10.62,True,22.19,True,23.39,^NSEMDCP50,0.024772,0.022815,8.58,True,17.746190128243633,True,"Rising P&F column, no fresh breakout yet","Adj Close if available, else Close",2.0% of latest close,8.92,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (8.6%); RSI in constructive zone,6.5,Relative-strength leader; look for clean price trigger
MUTHOOTMF,MUTHOOTMF.NS,Muthoot Microfin Ltd,Finance,Strong buy,250.11,0.1478914285961145,2026-07-30,252.65,63.51,10.53,14.804373830127183,24.140128042770193,40.43913422357359,-1.24,True,5.59,True,19.3,True,31.43,True,36.87,^NSEMDCP50,0.014036,0.011973,17.23,True,17.1386689542379,True,"Rising P&F column, no fresh breakout yet","Adj Close if available, else Close",2.0% of latest close,5.05,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (17.2%); RSI in constructive zone,6.5,Relative-strength leader; look for clean price trigger
CORONA,CORONA.NS,Corona Remedies Limited,Health technology,Strong buy,2113.0,2.4704112940421523,2026-07-30,2121.7,65.21,68.33,8.476912147259764,23.270503858975044,50.27609319781685,0.0,True,3.28,True,12.2,True,20.56,,,^NSEMDCP50,0.117872,0.106974,10.19,True,16.318091265248526,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,42.43,3,Strong watchlist candidate,above 50 DMA; RS ratio above 50 DMA (10.2%); RSI in constructive zone; P&F breakout,6.5,Near highs with trend support; needs breakout trigger
TVSMOTOR,TVSMOTOR.NS,TVS Motor Company Limited,Consumer durables,Buy,3870.2,1.0185841664141255,2026-07-30,4173.3,77.48,100.7,19.441894810746984,19.39063952760691,12.323971357441055,0.0,True,10.97,True,17.31,True,17.6,True,16.04,^NSEMDCP50,0.231849,0.201323,15.16,True,12.657049902838292,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,83.47,3,"Watch, wait for price trigger",above 50 DMA; above 200 DMA; RS ratio above 50 DMA (15.2%); RSI stretched; P&F breakout,6.5,Breakout confirmed but stretched; wait for consolidation or retest
UNITDSPR,UNITDSPR.NS,United Spirits Limited,Consumer non-durables,Buy,1467.2,5.360701206686668,2026-07-30,1519.8,76.25,35.24,13.243416184631984,15.873801795912401,15.437102217849175,0.0,True,7.09,True,13.14,True,15.31,True,12.76,^NSEMDCP50,0.084433,0.076017,11.07,True,9.338560568939712,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,30.4,3,"Watch, wait for price trigger",above 50 DMA; above 200 DMA; RS ratio above 50 DMA (11.1%); RSI stretched; P&F breakout,6.5,Breakout confirmed but stretched; wait for consolidation or retest
TITAN,TITAN.NS,Titan Company Limited,Consumer durables,Buy,4677.0,0.7670776044741879,2026-07-30,4843.7,76.76,77.17,10.480460182577511,11.381936179290841,22.247785252797335,-0.13,True,4.24,True,10.38,True,12.37,True,17.02,^NSEMDCP50,0.269093,0.248318,8.37,True,5.100034576191614,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,96.87,3,"Watch, wait for price trigger",above 50 DMA; above 200 DMA; RS ratio above 50 DMA (8.4%); RSI stretched; P&F breakout,6.5,Breakout confirmed but stretched; wait for consolidation or retest
